N-Z,N,Z,A,EL,S2n,D_S2n,is_from_experiment,S2p,D_S2p,is_from_experiment,Qa,D_Qa,is_from_experiment,Q2b,D_Q2b,is_from_experiment,Qep,D_Qep,is_from_experiment,Qbn,D_Qbn,is_from_experiment
2,6,4,10,Be,8476.8212,0.0883,1,33580.1385,0.1199,1,-7409.5245,0.0966,1,-3091.1864,0.1072,1,-35617.3109,46.8165,1,-7880.3173,0.9009,1
0,5,5,10,B,27013.5945,1.0,1,23473.136,0.0496,1,-4461.1857,0.015,1,-26749.4168,400.0,1,-20193.2654,0.1869,1,-24931.6787,2.1367,1
-2,4,6,10,C,35508.2323,18.2431,1,3820.9409,0.0787,1,-5101.2767,5.4482,1,999999.0,999999.0,1,-2938.749,0.1039,1,999999.0,999999.0,1
-4,3,7,10,N,999999.0,999999.0,1,-1300.5163,400.0012,1,-10945.0,2042.0,0,999999.0,999999.0,1,19094.5706,400.001,1,999999.0,999999.0,1
5,8,3,11,Li,369.2826,0.6424,1,999999.0,999999.0,1,-10832.0,1004.0,0,32060.5504,0.6149,1,999999.0,999999.0,1,20049.454,0.6201,1
3,7,4,11,Be,7313.9182,0.2497,1,35336.5997,46.8171,1,-8320.8746,7.5632,1,9527.7718,0.2451,1,-36308.9489,92.848,1,55.2401,0.2382,1
1,6,5,11,B,19891.4138,0.9027,1,30865.139,0.1867,1,-8664.3124,0.0128,1,-15697.9358,5.0005,1,-31673.8905,12.7213,1,-15102.2829,0.0714,1
-1,5,6,11,C,34404.2103,2.1375,1,15276.996,0.097,1,-7544.5165,0.0926,1,-37089.5162,60.0381,1,-9247.0606,0.1005,1,-36221.9485,400.0,1
-3,4,7,11,N,999999.0,999999.0,1,2628.784,5.0813,1,-5735.8247,25.6426,1,999999.0,999999.0,1,5026.0622,5.0005,1,999999.0,999999.0,1
-5,3,8,11,O,999999.0,999999.0,1,-4249.9999,60.0,1,999999.0,999999.0,1,999999.0,999999.0,1,24751.2693,60.0381,1,999999.0,999999.0,1
6,9,3,12,Li,185.6871,32.5916,1,999999.0,999999.0,1,999999.0,999999.0,1,35640.1788,30.0354,1,999999.0,999999.0,1,20761.0898,30.0072,1
4,8,4,12,Be,3672.3612,1.9096,1,38697.3273,92.8673,1,-8956.8373,1.9106,1,25077.7615,1.9086,1,999999.0,999999.0,1,8338.7353,1.9086,1
2,7,5,12,B,14823.8489,1.3215,1,34261.1718,12.7898,1,-10001.3225,1.3223,1,-3968.6702,1.6571,1,-34647.8317,1.4574,1,-5351.3172,1.3228,1
0,6,6,12,C,31841.3091,0.0703,1,27185.4287,0.0809,1,-7366.5875,0.0354,1,-32013.3349,12.0002,1,-27466.1399,0.2377,1,-32436.962,5.0005,1
-2,5,7,12,N,37604.5955,400.0012,1,9290.4847,1.0,1,-8008.4167,1.414,1,999999.0,999999.0,1,1381.3889,1.0,1,-38472.1632,60.0464,1
-4,4,8,12,O,999999.0,999999.0,1,-1736.7199,12.0,1,-5475.8501,21.836,1,999999.0,999999.0,1,14074.9668,12.0004,1,999999.0,999999.0,1
7,10,3,13,Li,-110.0001,70.0,1,999999.0,999999.0,1,999999.0,999999.0,1,40418.9467,70.0098,1,999999.0,999999.0,1,23831.8153,70.0287,1
5,9,4,13,Be,2660.7254,10.1833,1,999999.0,999999.0,1,-9701.6627,47.9106,1,30534.0702,10.1805,1,999999.0,999999.0,1,12218.3636,10.2659,1
3,8,5,13,B,8248.3962,1.0,1,38744.2527,1.1739,1,-10817.8729,1.0173,1,11216.4669,1.0358,1,-39736.5997,30.023,1,8490.63,1.0001,1
1,7,6,13,C,23667.0238,0.0596,1,31630.1016,0.2377,1,-10648.3575,0.0765,1,-19990.4224,9.5263,1,-29241.7232,1.9086,1,-22284.3768,0.9999,1
-1,6,7,13,N,35162.799,5.0078,1,17900.1692,0.2698,1,-9495.9206,0.942,1,-36684.0,500.0,0,-15312.8879,1.3486,1,-34739.1719,12.0032,1
-3,5,8,13,O,40766.1177,60.7891,1,2111.9075,9.5265,1,-8220.4554,9.763,1,999999.0,999999.0,1,15826.4606,9.5263,1,999999.0,999999.0,1
-5,4,9,13,F,999999.0,999999.0,1,-3086.0,500.0,0,999999.0,999999.0,1,999999.0,999999.0,1,17403.0,500.0,0,999999.0,999999.0,1
6,10,4,14,Be,1265.8951,132.2589,1,999999.0,999999.0,1,-11667.5601,161.5842,1,36934.6092,132.2451,1,999999.0,999999.0,1,15321.2364,132.2489,1
4,9,5,14,B,5848.3482,21.2544,1,39923.8329,36.7476,1,-11813.8576,24.7353,1,20800.2691,21.2133,1,-40606.18,73.1463,1,12467.3585,21.2133,1
2,8,6,14,C,13122.7428,0.0039,1,36635.8103,1.9086,1,-12012.5091,0.081,1,-4987.8879,0.0254,1,-37928.1573,10.1805,1,-10396.9059,0.2696,1
0,7,7,14,N,30617.2874,0.9999,1,25083.9232,1.3214,1,-11612.1097,0.0149,1,-29100.9859,41.1187,1,-20987.5023,1.0001,1,-28323.3329,9.5263,1
-2,6,8,14,O,40148.1899,12.0002,1,6570.161,0.0252,1,-10115.8076,0.0747,1,999999.0,999999.0,1,-2406.1992,0.0252,1,-42093.0,500.0,0
-4,5,9,14,F,999999.0,999999.0,1,-48.3925,41.1309,1,-9260.5406,402.1079,1,999999.0,999999.0,1,19329.9505,41.1196,1,999999.0,999999.0,1
7,11,4,15,Be,-24.1049,166.1096,1,999999.0,999999.0,1,999999.0,999999.0,1,39952.6754,165.7993,1,999999.0,999999.0,1,18090.8166,167.1489,1
5,10,5,15,B,3747.2047,21.0527,1,42601.4574,73.0931,1,-14195.795,21.0379,1,28855.9414,21.029,1,999999.0,999999.0,1,17866.1681,21.029,1
3,9,6,15,C,9394.5003,0.8,1,38363.8765,10.2119,1,-12728.9395,0.8346,1,7017.523,0.9382,1,-37370.3284,132.2475,1,-1061.5897,0.8,1
1,8,7,15,N,21386.6791,0.2695,1,31038.4521,1.0001,1,-10991.1859,0.0121,1,-16465.3141,14.0,1,-30851.2189,21.2133,1,-15977.6611,0.0252,1
-1,7,8,15,O,36402.4456,9.5389,1,14847.3293,0.4902,1,-10218.6907,0.4938,1,-37359.7515,66.6858,1,-7453.2421,0.4902,1,-37180.0986,41.1217,1
-3,6,9,15,F,41606.0,500.0,0,3356.6711,14.0026,1,-10223.8076,14.8663,1,999999.0,999999.0,1,6414.3643,14.0,1,999999.0,999999.0,1
-5,5,10,15,Ne,999999.0,999999.0,1,-2521.9999,66.0,1,-9948.4554,89.7291,1,999999.0,999999.0,1,24918.6215,66.684,1,999999.0,999999.0,1
8,12,4,16,Be,-1350.0001,100.0,1,999999.0,999999.0,1,999999.0,999999.0,1,43753.0055,165.836,1,999999.0,999999.0,1,20418.4411,167.1256,1
6,11,5,16,B,2694.6232,32.4578,1,999999.0,999999.0,1,-14322.7938,38.7799,1,31427.7916,24.6739,1,999999.0,999999.0,1,19167.2355,24.5793,1
4,10,6,16,C,5468.3962,3.5777,1,40838.3114,132.2935,1,-13808.5442,4.0549,1,18431.1354,3.5777,1,-43420.6585,165.836,1,5521.377,3.5777,1
2,9,7,16,N,13322.1458,2.3014,1,32557.7208,21.3378,1,-10110.4066,2.6538,1,-4991.2746,5.837,1,-30562.4434,21.1545,1,-5243.0331,2.353,1
0,8,8,16,O,28887.4195,0.0252,1,22334.8376,0.0038,1,-7161.918,0.0003,1,-28723.7772,20.48,1,-21899.1184,0.8,1,-29375.0724,14.0,1
-2,7,9,16,F,37431.857,41.4672,1,6766.1772,5.3642,1,-9087.8022,5.4566,1,999999.0,999999.0,1,3284.7726,5.3642,1,-37611.51,66.8994,1
-4,6,10,16,Ne,999999.0,999999.0,1,-1401.0517,20.48,1,-10451.4758,23.7368,1,999999.0,999999.0,1,13842.1818,20.4859,1,999999.0,999999.0,1
7,12,5,17,B,1383.6939,205.1841,1,999999.0,999999.0,1,-15689.4889,215.7746,1,35846.243,204.6541,1,999999.0,999999.0,1,21950.8705,204.135,1
5,11,6,17,C,4983.9018,17.3833,1,43371.8832,166.7042,1,-15052.1159,20.1291,1,21840.6437,17.3649,1,-43704.2302,166.7042,1,7276.6542,17.5167,1
3,10,7,17,N,8373.9955,15.0,1,35665.2429,25.8305,1,-11116.7852,15.0333,1,5918.3775,15.002,1,-36530.5911,28.7837,1,4535.7629,15.0,1
1,9,8,17,O,19807.0225,0.4902,1,25259.8515,0.8,1,-6358.6894,0.0007,1,-17309.2162,0.3542,1,-21791.8685,3.5777,1,-19555.2641,5.3642,1
-1,8,9,17,F,30757.687,14.0022,1,12727.6789,0.2479,1,-5818.6957,0.3662,1,-32767.8784,59.6161,1,-11021.177,2.3147,1,-30106.3918,20.4815,1
-3,7,10,17,Ne,39857.5578,66.6849,1,933.1123,0.6048,1,-9039.8956,9.5329,1,999999.0,999999.0,1,13948.4831,0.3542,1,999999.0,999999.0,1
-5,6,11,17,Na,999999.0,999999.0,1,-3574.8854,61.2374,1,-9735.0,504.0,0,999999.0,999999.0,1,16755.4268,59.8565,1,999999.0,999999.0,1
8,13,5,18,B,1461.6951,205.6376,1,999999.0,999999.0,1,999999.0,999999.0,1,38679.4724,205.0076,1,999999.0,999999.0,1,22689.4423,204.902,1
6,12,6,18,C,4917.5036,30.2126,1,47105.8151,168.4897,1,-17460.1527,135.6052,1,25702.082,30.0,1,999999.0,999999.0,1,8977.8688,33.541,1
4,11,7,18,N,8713.3759,18.7116,1,38576.4735,30.795,1,-12975.4343,28.1928,1,12240.055,18.5753,1,-37892.1253,204.9466,1,5850.6136,18.5695,1
2,10,8,18,O,12188.4503,0.0011,1,29054.8916,3.5777,1,-6227.6255,0.0038,1,-6100.4337,0.3634,1,-29103.6669,17.3649,1,-10805.8357,0.2479,1
0,9,9,18,F,25944.7054,5.3842,1,19388.7368,2.3475,1,-4415.2202,0.4633,1,-24164.8794,93.8824,1,-14285.9373,15.0072,1,-23698.6576,0.5832,1
-2,8,10,18,Ne,34811.7938,20.4832,1,4523.3226,0.3634,1,-5115.0797,0.3643,1,999999.0,999999.0,1,-1162.5895,0.3634,1,-37473.2804,59.6167,1
-4,7,11,18,Na,999999.0,999999.0,1,215.1321,94.0343,1,-9351.3267,102.4911,1,999999.0,999999.0,1,15797.3195,93.8816,1,999999.0,999999.0,1
9,14,5,19,B,88.7073,563.6171,1,999999.0,999999.0,1,999999.0,999999.0,1,43913.9955,525.6187,1,999999.0,999999.0,1,26779.6669,526.2185,1
