N-Z,N,Z,A,EL,S2n,D_S2n,is_from_experiment,S2p,D_S2p,is_from_experiment,Qa,D_Qa,is_from_experiment,Q2b,D_Q2b,is_from_experiment,Qep,D_Qep,is_from_experiment,Qbn,D_Qbn,is_from_experiment
12,33,21,54,Sc,10057.0092,14.3072,1,31878.2471,36.3285,1,-11134.9967,15.9694,1,15460.3337,17.8944,1,-29431.1824,112.6493,1,4372.1815,14.2683,1
10,32,22,54,Ti,12408.7509,16.0719,1,26055.483,15.8496,1,-8579.4981,15.9144,1,11191.5667,15.836,1,-23645.076,46.5561,1,-1963.4555,16.1365,1
8,31,23,54,V,14597.8717,11.1803,1,23952.6489,11.5944,1,-7786.0627,11.459,1,5659.9793,11.2242,1,-18417.6838,20.9336,1,-2681.9677,11.1796,1
6,30,24,54,Cr,17658.5072,0.1231,1,22035.6236,2.7496,1,-7928.4276,0.1104,1,-680.7637,0.3461,1,-17342.9171,2.8907,1,-10316.3474,0.3498,1
4,29,25,54,Mn,20989.4962,1.0067,1,18693.157,1.0131,1,-8759.9225,1.0049,1,-7548.179,1.0625,1,-10995.5427,3.2589,1,-12682.0813,1.9467,1
2,28,26,54,Fe,24065.1561,0.3756,1,15413.0495,0.3487,1,-8418.1672,0.3452,1,-16976.3035,4.6701,1,-8255.9689,0.3477,1,-21666.5575,1.6927,1
0,27,27,54,Co,29808.7251,5.2929,1,11876.6232,0.3654,1,-7808.097,0.3596,1,-26770.0,400.0,0,-608.689,0.4681,1,-26450.5582,25.1528,1
-2,26,28,54,Ni,32861.0923,83.0337,1,5524.1586,4.6609,1,-7226.768,9.5903,1,-33576.0,217.0,0,4380.2004,4.9476,1,-34210.0,500.0,0
-4,25,29,54,Cu,35503.0,721.0,0,1474.0,400.0,0,-6075.0,419.0,0,999999.0,999999.0,1,14130.0,400.0,0,999999.0,999999.0,1
-6,24,30,54,Zn,999999.0,999999.0,1,-2280.0,200.0,0,-4667.0,545.0,0,999999.0,999999.0,1,16640.0,218.0,0,999999.0,999999.0,1
17,36,19,55,K,3377.0,513.0,0,999999.0,999999.0,1,-16245.0,860.0,0,31313.0,504.0,0,999999.0,999999.0,1,17560.0,503.0,0
15,35,20,55,Ca,5405.3036,166.0909,1,40019.0,717.0,0,-14586.0,431.0,0,23182.0937,162.7984,1,-38500.0,816.0,0,7716.2405,160.8251,1
13,34,21,55,Sc,8215.1894,64.8715,1,33124.3278,128.0222,1,-10751.567,63.7584,1,18283.0281,68.0058,1,-32981.0,404.0,0,6830.3865,64.3881,1
11,33,22,55,Ti,11093.6717,29.0203,1,27022.7033,52.4457,1,-7925.0749,28.881,1,13277.855,28.8772,1,-23960.8525,56.3919,1,-5.5195,30.9649,1
9,32,23,55,V,13416.0971,27.1909,1,24933.5236,32.2948,1,-8299.699,27.1302,1,8587.406,27.0146,1,-21976.1735,30.4132,1,-261.075,27.0137,1
7,31,24,55,Cr,15965.3422,0.2118,1,22806.8328,2.8966,1,-7802.2745,0.5242,1,2371.0979,0.3619,1,-16655.4824,15.837,1,-7623.3952,1.0222,1
5,30,25,55,Mn,19164.8284,0.4009,1,20438.8092,3.1111,1,-7934.3526,0.265,1,-3682.5458,0.3349,1,-15103.2458,11.1821,1,-9529.2447,0.2461,1
3,29,26,55,Fe,22676.5745,1.6447,1,16771.7462,0.3126,1,-8455.623,0.3403,1,-12145.4604,0.6622,1,-7835.0136,0.3105,1,-17542.6721,0.2098,1
1,28,27,55,Co,27513.2564,1.7188,1,13917.5886,0.506,1,-8211.6868,0.4861,1,-22394.5935,155.56,1,-5760.7207,1.0804,1,-22823.0025,4.675,1
-1,27,28,55,Ni,31847.7699,25.1602,1,8966.4201,1.7582,1,-7571.6918,1.566,1,-31066.0,400.0,0,3629.6831,0.6499,1,-32167.0,400.0,0
-3,26,29,55,Cu,34638.0,524.0,0,3553.9689,155.5691,1,-6718.1722,162.9263,1,999999.0,999999.0,1,9085.6938,155.5599,1,-34005.0,267.0,0
-5,25,30,55,Zn,999999.0,999999.0,1,-783.0,400.0,0,-5044.0,640.0,0,999999.0,999999.0,1,17720.0,400.0,0,999999.0,999999.0,1
18,37,19,56,K,3012.0,721.0,0,999999.0,999999.0,1,-16804.0,922.0,0,33496.0,654.0,0,999999.0,999999.0,1,18559.0,621.0,0
16,36,20,56,Ca,4492.4394,254.2962,1,40649.0,838.0,0,-14556.0,650.0,0,25912.6049,268.999,1,999999.0,999999.0,1,9260.3993,257.3236,1
14,35,21,56,Sc,7220.551,260.0405,1,34944.0,477.0,0,-10803.1358,261.8212,1,20667.5521,313.6258,1,-33275.0,564.0,0,8245.3022,261.2655,1
12,34,22,56,Ti,9821.8191,101.4441,1,28840.3503,111.294,1,-7581.6397,100.2028,1,15862.1321,100.2022,1,-28061.5915,188.9699,1,1630.8225,103.778,1
10,33,23,56,V,12427.7694,176.2393,1,26323.4091,176.4386,1,-8084.756,175.9113,1,10728.2654,175.8847,1,-22630.2638,186.629,1,855.6051,175.8846,1
8,32,24,56,Cr,14492.3846,0.5809,1,24119.2573,15.8459,1,-8232.3457,2.8067,1,5322.0357,0.5123,1,-20741.6299,28.8821,1,-5643.9036,0.5358,1
6,31,25,56,Mn,17496.0555,1.0434,1,21591.3408,11.1829,1,-7893.5501,0.3226,1,-871.1482,0.4489,1,-15075.501,27.0149,1,-7501.5624,0.2234,1
4,30,26,56,Fe,20495.184,0.2766,1,18249.7262,0.2737,1,-7612.5711,0.2754,1,-6699.5143,0.3154,1,-12785.8106,0.3309,1,-14648.485,0.3395,1
2,29,27,56,Co,24173.0863,0.4702,1,15060.2133,1.1091,1,-7754.0471,0.4841,1,-17410.7851,6.4123,1,-5616.9468,0.4283,1,-18775.8746,0.7405,1
0,28,28,56,Ni,30771.9731,4.6745,1,12230.9756,0.3639,1,-8000.4694,0.4276,1,-28518.0,400.0,0,-3715.1983,0.3539,1,-30343.5642,155.56,1
-2,27,29,56,Cu,33532.0,400.0,0,5197.6071,6.4045,1,-6710.6698,8.2937,1,-34790.0,500.0,0,8111.2926,6.4074,1,-32431.0,400.0,0
-4,26,30,56,Zn,35830.0,454.0,0,689.0,400.0,0,-5255.0,408.0,0,999999.0,999999.0,1,12657.0,400.0,0,999999.0,999999.0,1
-6,25,31,56,Ga,999999.0,999999.0,1,-2822.0,640.0,0,-4385.0,781.0,0,999999.0,999999.0,1,20507.0,524.0,0,999999.0,999999.0,1
19,38,19,57,K,2483.0,781.0,0,999999.0,999999.0,1,999999.0,999999.0,1,35509.0,626.0,0,999999.0,999999.0,1,19569.0,650.0,0
17,37,20,57,Ca,4052.0,431.0,0,999999.0,999999.0,1,-15775.0,805.0,0,27842.0,450.0,0,999999.0,999999.0,1,10885.0,477.0,0
15,36,21,57,Sc,6680.1809,190.3033,1,36428.0,532.0,0,-11508.8464,211.6952,1,23055.4105,198.76,1,-36649.0,626.0,0,9972.0247,205.8164,1
13,35,22,57,Ti,8712.0158,207.8944,1,30329.4155,260.8749,1,-7439.0568,210.4826,1,18123.1363,205.8876,1,-28180.4289,323.584,1,3710.2341,270.7795,1
11,34,23,57,V,11452.5633,88.9662,1,28170.8975,105.2632,1,-8090.4245,86.5939,1,13051.216,84.7793,1,-26208.1858,273.1503,1,2778.7463,84.7679,1
9,33,24,57,Cr,13557.2971,1.8769,1,25270.4581,28.9364,1,-8068.4674,3.4365,1,7657.0321,1.8822,1,-20390.9603,100.2179,1,-3684.6368,1.8859,1
7,32,25,57,Mn,15916.3733,1.5194,1,22939.0854,27.0552,1,-8059.5201,3.4481,1,1859.3786,1.5846,1,-18591.8497,175.8908,1,-4950.4341,1.5218,1
5,31,26,57,Fe,18843.2312,0.2297,1,19649.6351,0.3312,1,-7319.315,0.2752,1,-4098.0559,0.51,1,-12185.8602,0.5126,1,-12212.817,0.4106,1
3,30,27,57,Co,21458.2977,0.543,1,16211.0579,0.4719,1,-7080.224,0.5966,1,-12036.6437,0.5978,1,-9722.963,0.4906,1,-13509.3271,0.5241,1
1,29,28,57,Ni,26890.6357,0.8106,1,13180.4813,0.5455,1,-7561.3934,1.7267,1,-23534.0,200.0,0,-2765.7687,0.51,1,-25525.5463,6.4197,1
-1,28,29,57,Cu,31816.2476,155.5603,1,7856.9601,0.4905,1,-7074.5541,1.761,1,-31899.0,400.0,0,1442.5325,0.5167,1,-29991.0,400.0,0
-3,27,30,57,Zn,34423.0,447.0,0,1792.0,200.0,0,-5344.0,202.0,0,999999.0,999999.0,1,14069.0,200.0,0,-36782.0,539.0,0
-5,26,31,57,Ga,999999.0,999999.0,1,-1648.0,429.0,0,-4695.0,640.0,0,999999.0,999999.0,1,15931.0,400.0,0,999999.0,999999.0,1
20,39,19,58,K,2193.0,922.0,0,999999.0,999999.0,1,999999.0,999999.0,1,37410.0,725.0,0,999999.0,999999.0,1,20418.0,806.0,0
18,38,20,58,Ca,4163.0,559.0,0,999999.0,999999.0,1,-16516.0,944.0,0,29387.0,533.0,0,999999.0,999999.0,1,11778.0,532.0,0
16,37,21,58,Sc,6106.3567,321.7689,1,38038.0,629.0,0,-12754.0,442.0,0,24951.0146,212.8148,1,-36898.0,629.0,0,10850.9613,280.1708,1
14,36,22,58,Ti,7637.3092,208.9344,1,31985.2201,309.7318,1,-8181.9971,189.6303,1,21074.1391,183.3639,1,-31647.0,440.0,0,5446.0767,201.9869,1
12,35,23,58,V,10389.8192,200.2899,1,29492.6773,276.7788,1,-8417.566,96.8296,1,15396.9847,95.8542,1,-26339.902,203.7179,1,4023.083,95.8342,1
10,34,24,58,Cr,12849.3162,3.0363,1,27146.7543,100.2449,1,-8672.9111,16.1135,1,10163.4634,2.9975,1,-24878.9303,205.9008,1,-2576.8464,3.3391,1
8,33,25,58,Mn,15058.5385,2.7172,1,24222.1099,175.9052,1,-8354.2169,11.5012,1,4019.7241,2.9371,1,-18681.4762,84.809,1,-3716.8696,2.7146,1
6,32,26,58,Fe,17690.7439,0.1815,1,21448.0855,0.5435,1,-7644.8077,0.3219,1,-1926.3997,0.3046,1,-16919.2574,1.8896,1,-10880.9312,0.5035,1
4,31,27,58,Co,19949.4108,1.1716,1,17513.5686,1.1431,1,-6713.9617,1.5276,1,-8179.4415,1.1923,1,-9649.9842,1.8907,1,-11834.6497,1.2101,1
2,30,28,58,Ni,22463.8585,0.3492,1,14199.6502,0.2511,1,-6399.1718,0.3508,1,-17930.0,50.0,1,-7335.8256,0.2512,1,-20991.1751,0.4492,1
0,29,29,58,Cu,29180.7544,6.4194,1,10205.2753,0.5921,1,-6082.6991,0.5716,1,-28128.0,300.0,0,388.8359,0.6149,1,-27189.0,200.0,0
-2,28,30,58,Zn,33052.0,403.0,0,2969.1645,50.0012,1,-5445.4753,50.2177,1,-34719.0,503.0,0,6496.1185,50.0025,1,-34960.0,403.0,0
-4,27,31,58,Ga,35843.0,583.0,0,-512.0,300.0,0,-4725.0,500.0,0,999999.0,999999.0,1,16480.0,300.0,0,999999.0,999999.0,1
-6,26,32,58,Ge,999999.0,999999.0,1,-3232.0,640.0,0,-4303.0,545.0,0,999999.0,999999.0,1,17682.0,539.0,0,999999.0,999999.0,1
21,40,19,59,K,1523.0,1000.0,0,999999.0,999999.0,1,999999.0,999999.0,1,39579.0,838.0,0,999999.0,999999.0,1,22209.0,944.0,0
19,39,20,59,Ca,3773.0,721.0,0,999999.0,999999.0,1,999999.0,999999.0,1,31689.0,671.0,0,999999.0,999999.0,1,13218.0,629.0,0
17,38,21,59,Sc,5592.5339,307.6371,1,39537.0,650.0,0,-13725.0,559.0,0,26781.0666,284.9548,1,-40049.0,743.0,0,12016.7999,309.7318,1
15,37,22,59,Ti,7620.0,364.0,0,33898.0,500.0,0,-9654.0,340.0,0,22236.0,300.0,0,-31638.0,583.0,0,6480.0,315.0,0
13,36,23,59,V,9318.19,161.444,1,30808.9065,226.2723,1,-9193.4251,150.9105,1,17914.7114,137.4202,1,-29420.0191,234.4959,1,6309.8725,137.4328,1
11,35,24,59,Cr,11733.5823,1.98,1,28292.0246,205.8803,1,-8708.378,28.8841,1,12549.0267,0.7476,1,-24487.2334,183.3409,1,-359.6806,2.7834,1
9,34,25,59,Mn,14181.6854,2.7726,1,25668.2074,84.7979,1,-8825.1083,27.1135,1,6704.5095,2.3624,1,-22383.7159,95.8444,1,-1441.3756,2.3501,1
7,33,26,59,Fe,16625.5769,0.2083,1,22717.915,1.892,1,-7979.5497,0.3841,1,491.8754,0.324,1,-15962.121,2.999,1,-8888.9832,1.1435,1
5,32,27,59,Co,19026.8162,0.4399,1,19321.5008,1.5503,1,-6942.2118,0.3435,1,-5871.3836,0.4422,1,-13691.2407,2.7304,1,-10072.2847,0.2004,1
3,31,28,59,Ni,21215.5083,0.4987,1,15552.7584,0.2544,1,-6100.3272,0.3262,1,-13941.1546,0.6743,1,-6290.5331,0.3072,1,-17560.3001,0.4453,1
1,30,29,59,Cu,25192.0762,0.598,1,11590.7386,0.5813,1,-4753.374,0.548,1,-22598.0,170.0,0,-3800.133,1.1752,1,-22130.9011,50.0016,1
-1,29,30,59,Zn,30808.0,200.0,0,5709.6597,0.8361,1,-4304.633,0.9649,1,-30846.0,400.0,0,5724.2218,0.6725,1,-31747.0,300.0,0
-3,28,31,59,Ga,34493.0,434.0,0,1029.0,170.0,0,-4550.0,231.0,0,999999.0,999999.0,1,10619.0,170.0,0,-34252.0,528.0,0
-5,27,32,59,Ge,999999.0,999999.0,1,-1602.0,447.0,0,-4525.0,565.0,0,999999.0,999999.0,1,18640.0,403.0,0,999999.0,999999.0,1
20,40,20,60,Ca,3612.0,860.0,0,999999.0,999999.0,1,999999.0,999999.0,1,33100.0,740.0,0,999999.0,999999.0,1,13758.0,743.0,0
18,39,21,60,Sc,5213.0,535.0,0,41058.0,860.0,0,-14955.0,781.0,0,28537.0,532.0,0,-40589.0,944.0,0,13258.0,583.0,0
16,38,22,60,Ti,7324.6653,302.2743,1,35147.0,555.0,0,-11014.223,346.5208,1,24808.8026,240.3281,1,-35198.0,646.0,0,7439.6014,276.8307,1
14,37,23,60,V,8799.4541,205.6335,1,32185.7747,263.0852,1,-9996.469,317.065,1,19880.5443,181.961,1,-29546.8222,308.9089,1,6957.2111,181.9474,1
12,36,24,60,Cr,11059.3288,3.1835,1,30568.7739,183.3431,1,-9910.4207,100.2068,1,14504.6739,3.5848,1,-28318.0,300.0,0,545.5102,2.5831,1
10,35,25,60,Mn,13283.0137,3.5665,1,27115.3044,95.8444,1,-9209.4612,175.8998,1,8682.4916,2.3634,1,-22646.2999,137.4202,1,-374.3064,2.352,1
8,34,26,60,Fe,15400.5394,3.3914,1,23999.3087,4.5262,1,-8552.9625,3.4347,1,3060.0691,3.4056,1,-20586.2145,3.4715,1,-7254.6543,3.4099,1
6,33,27,60,Co,17945.7812,1.1043,1,20400.8113,2.7313,1,-7163.6874,0.3755,1,-3305.1753,1.5877,1,-13414.0801,2.3634,1,-8564.9226,0.2068,1
4,32,28,60,Ni,20387.0081,0.0704,1,16895.9144,0.3103,1,-6290.9959,0.258,1,-10298.7732,0.4201,1,-11097.2568,0.3269,1,-16186.107,0.4004,1
2,31,29,60,Cu,22820.0474,1.636,1,13075.9119,1.9237,1,-4729.6603,1.6232,1,-18755.0,200.0,0,-3404.3953,1.5862,1,-19200.9019,1.7126,1
0,30,30,60,Zn,28018.2349,50.0017,1,8523.5409,0.4141,1,-2691.7371,0.544,1,-26644.0,300.0,0,-306.6082,0.4172,1,-28486.0,170.0,0
-2,29,31,60,Ga,32193.0,361.0,0,2500.0,200.0,0,-3386.0,200.0,0,-33950.0,447.0,0,9479.0,200.0,0,-31292.0,447.0,0
-4,28,32,60,Ge,36093.0,583.0,0,-191.0,304.0,0,-4565.0,500.0,0,999999.0,999999.0,1,12396.0,300.0,0,999999.0,999999.0,1
-6,27,33,60,As,999999.0,999999.0,1,-3322.0,500.0,0,-4225.0,640.0,0,999999.0,999999.0,1,20831.0,434.0,0,999999.0,999999.0,1
21,41,20,61,Ca,2942.0,1000.0,0,999999.0,999999.0,1,999999.0,999999.0,1,35380.0,855.0,0,999999.0,999999.0,1,15489.0,944.0,0
19,40,21,61,Sc,4813.0,650.0,0,42827.0,1000.0,0,-16055.0,848.0,0,30677.0,644.0,0,999999.0,999999.0,1,14529.0,646.0,0
17,39,22,61,Ti,6633.0,424.0,0,36758.0,671.0,0,-12235.0,500.0,0,26126.0,300.0,0,-34659.0,761.0,0,8646.0,351.0,0
15,38,23,61,V,8709.1404,272.1511,1,33925.513,342.7939,1,-11222.3845,295.8168,1,21565.0084,234.9314,1,-32916.0,553.0,0,8660.0609,234.9225,1
13,37,24,61,Cr,10523.2073,1.98,1,31195.0,300.0,0,-10519.5695,205.8876,1,16424.0007,3.2052,1,-27685.7755,240.3327,1,2400.1258,2.9822,1
11,36,25,61,Mn,12359.4373,3.2933,1,28709.4548,137.4202,1,-9731.9824,84.7979,1,11156.0489,2.4754,1,-25943.6991,181.961,1,1599.7264,4.1261,1
9,35,26,61,Fe,14398.1813,2.629,1,25382.514,2.693,1,-8820.4339,3.2052,1,5301.5263,2.6322,1,-19300.9735,2.8376,1,-5341.3833,2.6392,1
7,34,27,61,Co,16810.9768,0.8151,1,21950.7922,2.4754,1,-7836.8152,1.7186,1,-914.116,1.1969,1,-17219.2038,2.4754,1,-6496.2534,0.7909,1
5,33,28,61,Ni,19207.8321,0.0689,1,18135.0136,0.3298,1,-6464.9281,0.2616,1,-7873.1229,15.9001,1,-10097.8258,3.4058,1,-13948.0848,1.5742,1
3,32,29,61,Cu,21768.2444,1.0401,1,14332.1668,0.9803,1,-5063.3206,1.0408,1,-14849.4003,37.9997,1,-7622.5962,0.9829,1,-15880.9106,1.0494,1
1,31,30,61,Zn,25275.8638,15.9143,1,9770.0152,15.9001,1,-2689.8611,15.9069,1,-22559.0,300.0,0,835.3661,15.9001,1,-24830.0,201.0,0
-1,30,31,61,Ga,29517.0,175.0,0,5354.1501,37.9965,1,-2250.564,37.9963,1,-29935.0,302.0,0,3921.6289,38.027,1,-27676.0,302.0,0
-3,29,32,61,Ge,33563.0,500.0,0,1152.0,300.0,0,-3665.0,361.0,0,999999.0,999999.0,1,13096.0,300.0,0,-36221.0,500.0,0
-5,28,33,61,As,999999.0,999999.0,1,-1982.0,345.0,0,-4215.0,500.0,0,999999.0,999999.0,1,15101.0,361.0,0,999999.0,999999.0,1
20,41,21,62,Sc,4282.0,781.0,0,999999.0,999999.0,1,-17045.0,922.0,0,32524.0,656.0,0,999999.0,999999.0,1,15609.0,671.0,0
18,40,22,62,Ti,6243.0,466.0,0,37778.0,806.0,0,-13094.0,640.0,0,28653.0,400.0,0,-38499.0,894.0,0,9906.0,464.0,0
16,39,23,62,V,8268.3981,320.8613,1,35241.0,566.0,0,-12158.5104,325.5104,1,23310.801,264.3679,1,-33002.0,656.0,0,9212.0204,264.2935,1
14,38,24,62,Cr,10086.7473,3.6233,1,33330.8559,240.3502,1,-12359.8588,183.3721,1,18025.4452,4.4371,1,-31772.0,300.0,0,2818.2002,4.1595,1
12,37,25,62,Mn,11698.6548,6.9445,1,30014.5051,182.0637,1,-10518.2968,96.0392,1,12900.4347,19.6929,1,-25635.8143,235.0109,1,2325.22,7.0431,1
10,36,26,62,Fe,13607.5185,4.4057,1,26547.4985,3.0098,1,-9311.1648,4.0859,1,7868.3831,2.8266,1,-23670.5256,3.3586,1,-4051.196,2.9178,1
8,35,27,62,Co,15916.5979,18.5733,1,23034.3955,18.7198,1,-8021.7469,18.7698,1,1363.1439,18.5756,1,-16971.2407,18.7198,1,-5273.6884,18.5721,1
6,34,28,62,Ni,18415.8325,0.3086,1,19911.2076,3.4167,1,-7016.0846,0.4151,1,-5578.3513,0.4447,1,-15114.9081,2.6425,1,-12833.6951,0.9518,1
4,33,29,62,Cu,20584.9171,1.6723,1,15715.0478,0.6041,1,-5365.1666,1.242,1,-10800.5214,0.6721,1,-7178.3356,0.872,1,-14509.9552,15.9067,1
2,32,30,62,Zn,23136.2545,0.6851,1,11272.7873,0.5413,1,-3364.133,0.5447,1,-19028.0,140.0,0,-4235.0305,0.5397,1,-22104.7442,37.9973,1
0,31,31,62,Ga,28539.0,200.0,0,8219.7017,1.6724,1,-2744.0868,0.7216,1,-27567.0,300.0,0,2708.0697,1.0639,1,-26268.0,300.0,0
-2,30,32,62,Ge,30752.0,331.0,0,2543.0,140.0,0,-2266.0,148.0,0,999999.0,999999.0,1,6920.0,141.0,0,-33011.0,331.0,0
-4,29,33,62,As,34922.0,500.0,0,-592.0,361.0,0,-3305.0,424.0,0,999999.0,999999.0,1,15426.0,302.0,0,999999.0,999999.0,1
21,42,21,63,Sc,3573.0,922.0,0,999999.0,999999.0,1,-18105.0,1063.0,0,34810.0,778.0,0,999999.0,999999.0,1,17198.0,806.0,0
19,41,22,63,Ti,5633.0,583.0,0,39448.0,944.0,0,-14095.0,781.0,0,30318.0,505.0,0,999999.0,999999.0,1,11282.0,566.0,0
17,40,23,63,V,7705.6557,413.2604,1,36818.0,690.0,0,-13335.5063,421.8023,1,25146.9197,340.0158,1,-36339.0,690.0,0,11041.1524,340.0128,1
15,39,24,63,Cr,9824.4336,72.6804,1,34386.0,309.0,0,-12724.0,309.0,0,19457.3296,72.7838,1,-31267.0,406.0,0,4274.3471,72.9505,1
13,38,25,63,Mn,11287.5671,4.3938,1,31287.8814,234.9494,1,-11701.3594,137.451,1,14964.4923,18.9451,1,-28962.8681,264.3132,1,3919.6779,4.6575,1
11,37,26,63,Fe,12857.7625,5.0312,1,27717.0692,4.6884,1,-9944.6142,4.3544,1,9877.2624,4.3235,1,-22071.9888,5.5127,1,-2282.5479,19.0662,1
9,36,27,63,Co,15096.0105,18.5827,1,24687.3654,18.7205,1,-8751.1403,18.7205,1,3728.3153,18.5704,1,-20616.5594,19.6935,1,-3176.4313,18.5705,1
7,35,28,63,Ni,17433.4986,0.3102,1,21170.3309,2.6428,1,-7272.8498,0.4299,1,-3299.4624,1.545,1,-13923.806,2.8268,1,-10796.6664,0.4787,1
5,34,29,63,Cu,19738.4417,0.9516,1,17259.6317,0.7291,1,-5774.9461,0.3699,1,-9032.7686,1.372,1,-11444.44,18.5696,1,-12483.0979,0.4485,1
3,33,30,63,Zn,22007.1591,15.9557,1,12569.3422,1.5575,1,-3481.5119,1.5579,1,-15292.2081,37.2924,1,-2755.9604,1.5454,1,-18297.7253,1.6168,1
1,32,31,63,Ga,25555.0735,38.0159,1,9140.9792,1.614,1,-2613.5612,1.407,1,-23047.0,200.0,0,-1048.5275,1.4514,1,-22479.0,140.0,0
-1,31,32,63,Ge,29274.0,302.0,0,5150.257,40.5102,1,-2130.4585,37.2675,1,-30071.0,502.0,0,6957.8964,37.2648,1,-30572.0,302.0,0
-3,30,33,63,As,32443.0,361.0,0,944.0,204.0,0,-2165.0,263.0,0,999999.0,999999.0,1,11198.0,200.0,0,999999.0,999999.0,1
-5,29,34,63,Se,999999.0,999999.0,1,-2362.0,583.0,0,-2905.0,640.0,0,999999.0,999999.0,1,18001.0,519.0,0,999999.0,999999.0,1
20,42,22,64,Ti,5423.0,721.0,0,999999.0,999999.0,1,-14905.0,922.0,0,32160.0,671.0,0,999999.0,999999.0,1,12189.0,690.0,0
18,41,23,64,V,7249.0,479.0,0,38208.0,721.0,0,-14194.0,640.0,0,26669.0,400.0,0,-36679.0,806.0,0,11787.0,406.0,0
16,40,24,64,Cr,8930.0028,299.9609,1,36018.0,500.0,0,-13965.1963,384.3449,1,21329.5739,299.9831,1,-35069.0,583.0,0,5175.7645,299.9642,1
14,39,25,64,Mn,10607.7118,7.4385,1,32353.8188,264.3106,1,-12326.5545,181.9806,1,16803.4014,20.3161,1,-28537.8704,340.0138,1,4575.2708,5.5714,1
12,38,26,64,Fe,12234.1315,5.7429,1,28694.8827,6.0869,1,-10485.9676,5.1402,1,12129.4819,5.0385,1,-26080.2235,72.8296,1,-1189.3171,19.2407,1
10,37,27,64,Co,14510.6785,27.2923,1,25846.4192,21.048,1,-9249.4117,20.1404,1,5631.9765,20.0011,1,-20194.3521,20.3494,1,-2350.8683,20.001,1
8,36,28,64,Ni,16495.2302,0.2116,1,22798.9194,2.8326,1,-8110.7755,3.4222,1,-1095.016,0.6728,1,-18752.3758,4.3273,1,-9590.4836,0.2041,1
6,35,29,64,Cu,18779.5111,0.4793,1,18577.961,18.5696,1,-6198.8966,0.3773,1,-6591.5916,1.4721,1,-10861.8363,18.5704,1,-11282.3072,1.5451,1
4,34,30,64,Zn,20978.5655,0.7833,1,13835.5202,0.6449,1,-3955.6904,0.6596,1,-11688.5149,3.7812,1,-7780.0974,0.6447,1,-17528.2362,1.4543,1
2,33,31,64,Ga,22988.4409,1.5465,1,10623.2256,1.5464,1,-2912.4803,2.1469,1,-19301.0,203.0,0,-541.9295,1.472,1,-19982.9237,37.2871,1
0,32,32,64,Ge,28318.0,140.0,0,7725.3567,3.7764,1,-2565.9487,3.7661,1,-27456.0,500.0,0,608.955,4.0392,1,-28887.0,200.0,0
-2,31,33,64,As,31255.0,362.0,0,2123.0,203.0,0,-2367.0,285.0,0,999999.0,999999.0,1,9726.0,203.0,0,-30754.0,540.0,0
-4,30,34,64,Se,999999.0,999999.0,1,-702.0,519.0,0,-1754.0,583.0,0,999999.0,999999.0,1,12773.0,502.0,0,999999.0,999999.0,1
21,43,22,65,Ti,5073.0,860.0,0,999999.0,999999.0,1,-16225.0,1063.0,0,33520.0,728.0,0,999999.0,999999.0,1,13458.0,806.0,0
19,42,23,65,V,6513.0,605.0,0,39758.0,860.0,0,-15035.0,781.0,0,28857.0,500.0,0,999999.0,999999.0,1,13458.0,583.0,0
17,41,24,65,Cr,8274.0,213.0,0,37028.0,539.0,0,-14365.0,361.0,0,22908.0,200.0,0,-34119.0,632.0,0,6608.0,200.0,0
15,40,25,65,Mn,10222.9197,5.2693,1,33805.1454,340.0158,1,-13215.1387,234.9494,1,18217.8612,4.2685,1,-31937.0,400.0,0,5930.8897,6.2494,1
13,39,26,65,Fe,11724.9088,6.6815,1,29617.5444,72.8361,1,-11146.3156,5.4408,1,13907.8947,5.1346,1,-24866.8947,299.9847,1,503.2219,20.6481,1
11,38,27,65,Co,13476.2885,18.6914,1,26876.0868,4.2685,1,-9867.9915,3.1242,1,8078.4719,2.1797,1,-23485.1361,4.1069,1,-157.4896,2.1335,1
9,37,28,65,Ni,15755.5411,0.2458,1,24068.1095,4.3294,1,-8630.2096,2.6526,1,786.2281,0.6913,1,-17445.2156,5.0404,1,-7772.6963,0.2474,1
7,36,29,65,Cu,17826.4452,0.6588,1,19990.0665,18.5819,1,-6790.4145,0.9801,1,-4606.1908,0.6866,1,-14760.2066,20.0118,1,-9330.9775,0.3851,1
5,35,30,65,Zn,19841.2316,1.485,1,14977.0752,0.6496,1,-4114.9114,0.6632,1,-9433.8012,2.2589,1,-6101.9618,0.6774,1,-15150.516,1.4862,1
3,34,31,65,Ga,22253.023,1.5253,1,11655.5604,0.8138,1,-3098.3398,0.932,1,-15720.4301,84.7697,1,-4522.0394,0.8139,1,-16413.3016,3.809,1
1,33,32,65,Ge,25699.6385,37.3226,1,8842.7365,2.6679,1,-2554.2332,16.0459,1,-23459.0,300.0,0,2236.8234,2.2582,1,-25017.0,203.0,0
-1,32,33,65,As,29579.0,217.0,0,4967.8988,84.776,1,-2227.3099,92.8912,1,-30447.0,507.0,0,4606.7992,84.778,1,-28149.0,507.0,0
-3,31,34,65,Se,32312.0,583.0,0,676.0,302.0,0,-1655.0,424.0,0,999999.0,999999.0,1,14007.0,300.0,0,999999.0,999999.0,1
-5,30,35,65,Br,999999.0,999999.0,1,-2432.0,539.0,0,-1715.0,583.0,0,999999.0,999999.0,1,15753.0,540.0,0,999999.0,999999.0,1
