N-Z,N,Z,A,EL,Sn,D_Sn,is_from_experiment,Sp,D_Sp,is_from_experiment,Q4b,D_Q4b,is_from_experiment,Qda,D_Qda,is_from_experiment,Qpa,D_Qpa,is_from_experiment,Qna,D_Qna,is_from_experiment
0,5,5,10,B,8437.1932,0.9027,1,6586.8113,0.0779,1,999999.0,999999.0,1,17819.746,0.0384,1,1145.6682,0.0724,1,2789.9082,0.0155,1
-2,4,6,10,C,21283.6164,2.1378,1,4006.784,0.9054,1,999999.0,999999.0,1,3487.911,1.0023,1,-7113.8246,25.1504,1,5576.0775,0.0998,1
-4,3,7,10,N,999999.0,999999.0,1,-2600.0851,400.0057,1,999999.0,999999.0,1,14446.5653,400.4158,1,999999.0,999999.0,1,16769.8769,400.7899,1
5,8,3,11,Li,395.6871,12.7362,1,15757.8592,92.8497,1,16362.6146,5.0381,1,10503.2392,46.8205,1,13982.6309,0.6212,1,999999.0,999999.0,1
3,7,4,11,Be,501.6358,0.2511,1,20164.4299,12.7236,1,-27561.7445,60.0385,1,5933.0708,0.302,1,4095.4195,0.2424,1,-5786.1119,0.2537,1
1,6,5,11,B,11454.2206,0.0192,1,11228.7495,0.0818,1,999999.0,999999.0,1,8030.0643,0.0774,1,8590.0917,0.0374,1,-6631.6942,0.0489,1
-1,5,6,11,C,13120.594,0.0922,1,8690.1847,0.0615,1,999999.0,999999.0,1,8943.7182,0.9046,1,-7408.1168,1.0016,1,11354.1276,0.0693,1
-3,4,7,11,N,22505.7016,400.0313,1,-1377.9999,5.0,1,999999.0,999999.0,1,6165.4797,5.4378,1,-5834.57,18.9159,1,7090.4771,5.0995,1
-5,3,8,11,O,999999.0,999999.0,1,-1649.9147,404.4806,1,999999.0,999999.0,1,999999.0,999999.0,1,999999.0,999999.0,1,18321.0463,62.7485,1
6,9,3,12,Li,-210.0,30.0,1,999999.0,999999.0,1,31671.5086,30.023,1,10523.237,97.576,1,12937.8055,55.6072,1,999999.0,999999.0,1
4,8,4,12,Be,3170.7254,1.9233,1,22939.4682,2.0051,1,-6935.5735,12.151,1,2735.9409,12.8637,1,4986.9116,1.9176,1,-10211.6627,46.8554,1
2,7,5,12,B,3369.6283,1.3215,1,14096.742,1.3426,1,999999.0,999999.0,1,11472.7184,1.3239,1,6885.0022,1.3236,1,-5939.1049,1.3345,1
0,6,6,12,C,18720.7151,0.0596,1,15956.6792,0.0121,1,999999.0,999999.0,1,-1339.8036,0.0149,1,-7552.4306,0.9026,1,-5702.0487,0.0765,1
-2,5,7,12,N,15098.8939,5.0995,1,600.3,1.0017,1,999999.0,999999.0,1,12350.2022,1.0024,1,-6708.848,2.359,1,10567.9845,1.347,1
-4,4,8,12,O,23796.8964,61.2256,1,-358.7199,13.0,1,999999.0,999999.0,1,3924.1145,400.18,1,999999.0,999999.0,1,8748.7659,12.1889,1
7,10,3,13,Li,100.0,76.1577,1,999999.0,999999.0,1,51635.4137,70.0032,1,999999.0,999999.0,1,12647.8033,116.2802,1,999999.0,999999.0,1
5,9,4,13,Be,-510.0,10.0,1,22639.4682,31.6863,1,10543.6479,13.9425,1,3641.628,10.199,1,5470.5071,16.2934,1,-9891.6649,93.4042,1
3,8,5,13,B,4878.7679,1.6572,1,15804.7845,2.1547,1,-25468.0,500.0,0,7095.5863,1.0279,1,8818.5167,1.0033,1,-10844.2774,12.7606,1
1,7,6,13,C,4946.3087,0.0005,1,17533.3596,1.3214,1,999999.0,999999.0,1,5168.1082,0.0121,1,-4061.5461,0.0149,1,-3836.075,0.0809,1
-1,6,7,13,N,20063.9051,1.0356,1,1943.49,0.2695,1,999999.0,999999.0,1,5406.8911,0.276,1,-5489.1366,0.2785,1,-1058.7274,0.2699,1
-3,5,8,13,O,16969.2213,15.3217,1,1511.6075,9.5786,1,999999.0,999999.0,1,9460.5948,10.759,1,-10820.5406,400.1134,1,13063.161,9.5266,1
-5,4,9,13,F,999999.0,999999.0,1,-2728.0,500.0,0,999999.0,999999.0,1,5002.0,504.0,0,999999.0,999999.0,1,8876.0,640.0,0
6,10,4,14,Be,1775.8951,132.6364,1,24315.3634,149.63,1,31946.7213,132.2451,1,1655.7328,135.6066,1,4090.2991,132.2465,1,999999.0,999999.0,1
4,9,5,14,B,969.5802,21.2369,1,17284.3647,23.5297,1,-8300.7168,46.2683,1,9296.7314,21.299,1,8350.5723,21.2147,1,-11418.1705,21.2222,1
2,8,6,14,C,8176.4341,0.0038,1,20831.0258,1.0001,1,999999.0,999999.0,1,361.3024,1.3214,1,-783.7597,0.0127,1,-11510.8733,0.2377,1
0,7,7,14,N,10553.3823,0.2695,1,7550.5636,0.0001,1,999999.0,999999.0,1,13574.2239,0.0003,1,-2921.925,0.0596,1,-157.8891,0.0121,1
-2,6,8,14,O,23178.9686,9.5263,1,4626.671,0.2707,1,999999.0,999999.0,1,1380.5201,1.0002,1,-11493.8076,5.0006,1,3004.7863,0.0647,1
-4,5,9,14,F,18137.0,502.0,0,-1559.9999,40.0,1,999999.0,999999.0,1,10661.8748,42.834,1,-10910.4554,72.7689,1,13245.161,41.4217,1
7,11,4,15,Be,-1800.0,100.0,1,999999.0,999999.0,1,46970.1984,165.7981,1,3555.7328,179.9698,1,5680.2991,168.4908,1,999999.0,999999.0,1
5,10,5,15,B,2777.6245,29.8701,1,18286.0941,133.9066,1,12390.6273,25.263,1,6009.1069,23.3636,1,8743.6732,21.1154,1,-14405.795,36.6414,1
3,9,6,15,C,1218.0662,0.8,1,21079.5118,21.2284,1,-30342.2285,66.6888,1,4022.0042,1.2807,1,1367.8025,1.5447,1,-9558.2141,2.0694,1
1,8,7,15,N,10833.2968,0.0008,1,10207.4263,0.0038,1,999999.0,999999.0,1,7687.2358,0.0006,1,4965.4933,0.0006,1,-7621.5576,1.3214,1
-1,7,8,15,O,13223.477,0.4908,1,7296.7657,0.4902,1,999999.0,999999.0,1,8220.9481,0.5594,1,-9618.3907,1.1136,1,8502.0244,0.4902,1
-3,6,9,15,F,23468.9686,43.4368,1,-1269.9999,14.0,1,999999.0,999999.0,1,4162.1275,16.9337,1,-10582.5276,18.4392,1,4875.0863,14.0357,1
-5,5,10,15,Ne,999999.0,999999.0,1,-961.9999,77.1751,1,999999.0,999999.0,1,8896.0,505.0,0,999999.0,999999.0,1,13848.441,67.7551,1
8,12,4,16,Be,450.0,141.4214,1,999999.0,999999.0,1,62184.1409,165.7974,1,999999.0,999999.0,1,5330.2991,179.9698,1,999999.0,999999.0,1
6,11,5,16,B,-83.0012,14.6047,1,20003.0929,167.6075,1,26436.517,25.1451,1,7868.0033,134.5075,1,8316.6744,26.5922,1,-14222.7938,74.1881,1
4,10,6,16,C,4250.3301,3.6661,1,22552.2174,21.3311,1,-10292.6419,20.7901,1,741.2543,21.5129,1,1996.2403,3.7149,1,-14318.5442,10.7909,1
2,9,7,16,N,2488.849,2.3014,1,11478.209,2.4365,1,999999.0,999999.0,1,13374.8209,2.3014,1,7422.9531,2.3014,1,-5231.6387,2.5093,1
0,8,8,16,O,15663.9424,0.4902,1,12127.4113,0.0006,1,999999.0,999999.0,1,3110.388,0.0003,1,-5218.4281,0.2695,1,-2215.6093,0.0005,1
-2,7,9,16,F,13962.8884,14.9925,1,-530.5885,5.3604,1,999999.0,999999.0,1,13378.2077,5.3643,1,-7576.1947,10.9328,1,10976.1029,5.371,1
