N-Z,N,Z,A,EL,O,Mass_excess_keV,D_Mass_excess_keV,is_from_experiment,Binding_enrgy_perA_keV,D_Binding_enrgy_perA_keV,is_from_experiment,Decay_mode,Qbeta_keV,D_Qbeta_keV,is_from_experiment,A,Atomic_mass_microu,D_Atomic_mass_microu,is_from_experiment
22,49,27,76,Co,x,-25660.0,500.0,0,8131.0,7.0,0,B-,16530.0,583.0,0,75,972453.0,537.0,0
20,48,28,76,Ni,x,-42190.0,300.0,0,8338.0,4.0,0,B-,8791.0,300.0,0,75,954707.0,322.0,0
18,47,29,76,Cu,x,-50981.627,0.913,1,8443.6018,0.012,1,B-,11321.3964,1.7183,1,75,945268.974,0.98,1
16,46,30,76,Zn,na,-62303.024,1.456,1,8582.2735,0.0192,1,B-,3993.6241,2.4384,1,75,933114.956,1.562,1
14,45,31,76,Ga,x,-66296.648,1.956,1,8624.5272,0.0257,1,B-,6916.2501,1.9562,1,75,928827.624,2.1,1
12,44,32,76,Ge,na,-73212.898,0.018,1,8705.2364,0.0003,1,B-,-921.5145,0.8864,1,75,921402.725,0.019,1
10,43,33,76,As,-n,-72291.384,0.886,1,8682.8172,0.0117,1,B-,2960.5756,0.8864,1,75,922392.011,0.951,1
8,42,34,76,Se,na,-75251.959,0.016,1,8711.4781,0.0003,1,B-,-4962.881,9.3218,1,75,919213.702,0.017,1
6,41,35,76,Br,-,-70289.078,9.322,1,8635.883,0.1227,1,B-,-1275.3724,10.149,1,75,924541.574,10.007,1
4,40,36,76,Kr,na,-69013.706,4.013,1,8608.8077,0.0528,1,B-,-8534.6172,4.1214,1,75,925910.743,4.308,1
2,39,37,76,Rb,x,-60479.089,0.938,1,8486.2161,0.0123,1,B-,-6231.4432,34.478,1,75,935073.031,1.006,1
0,38,38,76,Sr,x,-54247.645,34.465,1,8393.9294,0.4535,1,B-,-15998.0,302.0,0,75,941762.76,37.0,1
-2,37,39,76,Y,x,-38250.0,300.0,0,8173.0,4.0,0,B-,999999.0,999999.0,1,75,958937.0,322.0,0
23,50,27,77,Co,x,-21910.0,600.0,0,8082.0,8.0,0,B-,15440.0,721.0,0,76,976479.0,644.0,0
21,49,28,77,Ni,x,-37350.0,400.0,0,8272.0,5.0,0,B-,11513.0,400.0,0,76,959903.0,429.0,0
19,48,29,77,Cu,x,-48862.828,1.211,1,8411.2501,0.0157,1,B-,9926.375,2.3148,1,76,947543.599,1.3,1
17,47,30,77,Zn,na,-58789.203,1.973,1,8530.0037,0.0256,1,B-,7203.1495,3.1237,1,76,936887.197,2.117,1
15,46,31,77,Ga,x,-65992.352,2.422,1,8613.3907,0.0315,1,B-,5220.5176,2.4225,1,76,929154.299,2.6,1
13,45,32,77,Ge,-n,-71212.87,0.053,1,8671.0293,0.0007,1,B-,2703.4642,1.6926,1,76,923549.843,0.056,1
11,44,33,77,As,na,-73916.334,1.692,1,8695.9789,0.022,1,B-,683.1627,1.692,1,76,920647.555,1.816,1
9,43,34,77,Se,na,-74599.497,0.062,1,8694.6908,0.0008,1,B-,-1364.6792,2.8099,1,76,919914.15,0.067,1
7,42,35,77,Br,-,-73234.818,2.811,1,8666.8073,0.0365,1,B-,-3065.3663,3.4244,1,76,921379.193,3.017,1
5,41,36,77,Kr,x,-70169.451,1.956,1,8616.837,0.0254,1,B-,-5338.9516,2.351,1,76,924669.999,2.1,1
3,40,37,77,Rb,x,-64830.5,1.304,1,8537.3396,0.0169,1,B-,-7027.0566,8.0244,1,76,930401.599,1.4,1
1,39,38,77,Sr,x,-57803.443,7.918,1,8435.9188,0.1028,1,B-,-11365.0,203.0,0,76,937945.454,8.5,1
-1,38,39,77,Y,-p,-46439.0,203.0,0,8278.0,3.0,0,B-,-14839.0,448.0,0,76,950146.0,218.0,0
-3,37,40,77,Zr,x,-31600.0,400.0,0,8075.0,5.0,0,B-,999999.0,999999.0,1,76,966076.0,429.0,0
24,51,27,78,Co,x,-15320.0,700.0,0,7997.0,9.0,0,B-,19560.0,806.0,0,77,983553.0,751.0,0
22,50,28,78,Ni,x,-34880.0,400.0,0,8238.0,5.0,0,B-,9910.0,400.0,0,77,962555.0,429.0,0
20,49,29,78,Cu,na,-44789.474,13.332,1,8354.6695,0.1709,1,B-,12693.768,13.4727,1,77,951916.524,14.312,1
18,48,30,78,Zn,na,-57483.242,1.944,1,8507.38,0.0249,1,B-,6220.8433,2.2088,1,77,938289.204,2.086,1
16,47,31,78,Ga,na,-63704.085,1.051,1,8577.1043,0.0135,1,B-,8157.9729,3.6884,1,77,931610.854,1.127,1
14,46,32,78,Ge,-nn,-71862.058,3.536,1,8671.6636,0.0453,1,B-,954.9114,10.3987,1,77,922852.911,3.795,1
12,45,33,78,As,+pn,-72816.97,9.779,1,8673.876,0.1254,1,B-,4208.9819,9.7801,1,77,921827.771,10.498,1
10,44,34,78,Se,na,-77025.952,0.179,1,8717.8072,0.0023,1,B-,-3573.7836,3.575,1,77,917309.244,0.191,1
8,43,35,78,Br,-,-73452.168,3.58,1,8661.9594,0.0459,1,B-,726.1153,3.5845,1,77,921145.858,3.842,1
6,42,36,78,Kr,na,-74178.283,0.307,1,8661.2385,0.0039,1,B-,-7242.856,3.252,1,77,920366.341,0.329,1
4,41,37,78,Rb,x,-66935.427,3.237,1,8558.3512,0.0415,1,B-,-3761.4779,8.1248,1,77,928141.866,3.475,1
2,40,38,78,Sr,x,-63173.949,7.452,1,8500.0971,0.0955,1,B-,-11001.0,298.0,0,77,932179.979,8.0,1
0,39,39,78,Y,x,-52173.0,298.0,0,8349.0,4.0,0,B-,-11323.0,499.0,0,77,943990.0,320.0,0
-2,38,40,78,Zr,x,-40850.0,400.0,0,8194.0,5.0,0,B-,999999.0,999999.0,1,77,956146.0,429.0,0
23,51,28,79,Ni,x,-28160.0,500.0,0,8150.0,6.0,0,B-,14248.0,511.0,0,78,969769.0,537.0,0
21,50,29,79,Cu,x,-42408.039,104.979,1,8320.938,1.3289,1,B-,11024.2629,105.003,1,78,954473.1,112.7,1
19,49,30,79,Zn,na,-53432.302,2.225,1,8450.5825,0.0282,1,B-,9116.0536,2.5295,1,78,942638.067,2.388,1
17,48,31,79,Ga,na,-62548.355,1.208,1,8556.0725,0.0153,1,B-,6978.8242,37.1467,1,78,932851.582,1.296,1
15,47,32,79,Ge,na,-69527.18,37.161,1,8634.5089,0.4704,1,B-,4108.9014,37.4361,1,78,925359.506,39.893,1
13,46,33,79,As,na,-73636.081,5.325,1,8676.6172,0.0674,1,B-,2281.3849,5.3284,1,78,920948.419,5.716,1
11,45,34,79,Se,-n,-75917.466,0.223,1,8695.5923,0.0028,1,B-,150.6016,1.0186,1,78,918499.252,0.238,1
9,44,35,79,Br,na,-76068.067,1.001,1,8687.5956,0.0127,1,B-,-1625.7778,3.3333,1,78,918337.574,1.074,1
7,43,36,79,Kr,-,-74442.29,3.48,1,8657.113,0.0441,1,B-,-3639.5114,3.9423,1,78,920082.919,3.736,1
5,42,37,79,Rb,na,-70802.778,1.943,1,8601.1401,0.0246,1,B-,-5323.114,7.563,1,78,923990.095,2.085,1
3,41,38,79,Sr,na,-65479.664,7.421,1,8523.8558,0.0939,1,B-,-7676.7291,80.4515,1,78,929704.692,7.967,1
1,40,39,79,Y,x,-57802.935,80.108,1,8416.7788,1.014,1,B-,-11033.0,310.0,0,78,937946.0,86.0,1
-1,39,40,79,Zr,x,-46770.0,300.0,0,8267.0,4.0,0,B-,-15120.0,583.0,0,78,949790.0,322.0,0
-3,38,41,79,Nb,x,-31650.0,500.0,0,8066.0,6.0,0,B-,999999.0,999999.0,1,78,966022.0,537.0,0
24,52,28,80,Ni,x,-23240.0,600.0,0,8088.0,7.0,0,B-,13440.0,671.0,0,79,975051.0,644.0,0
22,51,29,80,Cu,x,-36679.0,300.0,0,8246.0,4.0,0,B-,14969.0,300.0,0,79,960623.0,322.0,0
20,50,30,80,Zn,na,-51648.619,2.585,1,8423.5457,0.0323,1,B-,7575.0553,3.8774,1,79,944552.929,2.774,1
18,49,31,80,Ga,x,-59223.675,2.891,1,8508.4545,0.0361,1,B-,10311.6397,3.5409,1,79,936420.773,3.103,1
16,48,32,80,Ge,x,-69535.314,2.054,1,8627.5707,0.0257,1,B-,2679.2869,3.9156,1,79,925350.773,2.205,1
14,47,33,80,As,x,-72214.601,3.333,1,8651.2824,0.0417,1,B-,5544.8861,3.4412,1,79,922474.44,3.578,1
12,46,34,80,Se,na,-77759.487,0.947,1,8710.8142,0.0118,1,B-,-1870.4623,0.3095,1,79,916521.761,1.016,1
10,45,35,80,Br,na,-75889.025,0.993,1,8677.6541,0.0124,1,B-,2004.4299,1.1413,1,79,918529.784,1.065,1
8,44,36,80,Kr,na,-77893.455,0.695,1,8692.9301,0.0087,1,B-,-5717.9785,1.9883,1,79,916377.94,0.745,1
6,43,37,80,Rb,x,-72175.476,1.863,1,8611.676,0.0233,1,B-,-1864.009,3.9331,1,79,922516.442,2.0,1
4,42,38,80,Sr,x,-70311.467,3.464,1,8578.5966,0.0433,1,B-,-9163.305,7.1389,1,79,924517.538,3.718,1
2,41,39,80,Y,x,-61148.162,6.242,1,8454.2759,0.078,1,B-,-6388.0,300.0,0,79,934354.75,6.701,1
0,40,40,80,Zr,x,-54760.0,300.0,0,8365.0,4.0,0,B-,-16339.0,500.0,0,79,941213.0,322.0,0
-2,39,41,80,Nb,x,-38420.0,400.0,0,8151.0,5.0,0,B-,999999.0,999999.0,1,79,958754.0,429.0,0
25,53,28,81,Ni,x,-16090.0,700.0,0,8000.0,9.0,0,B-,15820.0,761.0,0,80,982727.0,751.0,0
23,52,29,81,Cu,x,-31910.0,300.0,0,8185.0,4.0,0,B-,14289.0,300.0,0,80,965743.0,322.0,0
21,51,30,81,Zn,x,-46199.669,5.03,1,8351.9262,0.0621,1,B-,11428.2924,5.996,1,80,950402.617,5.4,1
19,50,31,81,Ga,x,-57627.962,3.264,1,8483.3576,0.0403,1,B-,8663.7335,3.8508,1,80,938133.841,3.503,1
17,49,32,81,Ge,x,-66291.695,2.055,1,8580.6587,0.0254,1,B-,6241.6189,3.3436,1,80,928832.941,2.205,1
15,48,33,81,As,na,-72533.314,2.644,1,8648.0571,0.0326,1,B-,3855.705,2.8072,1,80,922132.288,2.838,1
13,47,34,81,Se,na,-76389.019,0.977,1,8685.9998,0.0121,1,B-,1588.0317,1.3787,1,80,917993.019,1.049,1
11,46,35,81,Br,na,-77977.051,0.978,1,8695.9465,0.0121,1,B-,-280.8517,0.4713,1,80,916288.197,1.049,1
9,45,36,81,Kr,na,-77696.199,1.074,1,8682.8206,0.0133,1,B-,-2239.4954,5.0188,1,80,916589.703,1.152,1
7,44,37,81,Rb,na,-75456.704,4.904,1,8645.5139,0.0605,1,B-,-3928.5695,5.817,1,80,918993.9,5.265,1
5,43,38,81,Sr,x,-71528.134,3.128,1,8587.3545,0.0386,1,B-,-5815.2156,6.2451,1,80,923211.393,3.358,1
3,42,39,81,Y,x,-65712.919,5.405,1,8505.9031,0.0667,1,B-,-8188.5003,92.3762,1,80,929454.283,5.802,1
1,41,40,81,Zr,x,-57524.418,92.218,1,8395.1519,1.1385,1,B-,-11164.0,410.0,0,80,938245.0,99.0,1
-1,40,41,81,Nb,x,-46360.0,400.0,0,8248.0,5.0,0,B-,-14900.0,640.0,0,80,950230.0,429.0,0
-3,39,42,81,Mo,x,-31460.0,500.0,0,8054.0,6.0,0,B-,999999.0,999999.0,1,80,966226.0,537.0,0
26,54,28,82,Ni,x,-10720.0,800.0,0,7935.0,10.0,0,B-,15010.0,894.0,0,81,988492.0,859.0,0
24,53,29,82,Cu,x,-25730.0,400.0,0,8108.0,5.0,0,B-,16584.0,400.0,0,81,972378.0,429.0,0
22,52,30,82,Zn,x,-42313.96,3.074,1,8301.1175,0.0375,1,B-,10616.7652,3.9162,1,81,954574.097,3.3,1
20,51,31,82,Ga,x,-52930.725,2.426,1,8421.0494,0.0296,1,B-,12484.3497,3.296,1,81,943176.531,2.604,1
18,50,32,82,Ge,x,-65415.075,2.24,1,8563.7567,0.0273,1,B-,4690.3523,4.3452,1,81,929774.031,2.405,1
16,49,33,82,As,x,-70105.427,3.729,1,8611.4153,0.0455,1,B-,7488.4677,3.7579,1,81,924738.731,4.003,1
14,48,34,82,Se,na,-77593.895,0.466,1,8693.1973,0.0057,1,B-,-95.2184,1.0767,1,81,916699.531,0.5,1
12,47,35,82,Br,na,-77498.677,0.971,1,8682.4953,0.0118,1,B-,3093.1185,0.9714,1,81,916801.752,1.042,1
10,46,36,82,Kr,na,-80591.79509,0.00551,1,8710.6754,0.0003,1,B-,-4403.9824,3.0088,1,81,913481.15368,0.00591,1
8,45,37,82,Rb,IT,-76187.813,3.009,1,8647.4275,0.0367,1,B-,-177.7503,6.7048,1,81,918209.023,3.23,1
6,44,38,82,Sr,na,-76010.062,5.992,1,8635.719,0.0731,1,B-,-7945.965,8.1324,1,81,918399.845,6.432,1
4,43,39,82,Y,x,-68064.097,5.499,1,8529.2762,0.0671,1,B-,-4450.0341,5.7221,1,81,926930.189,5.902,1
2,42,40,82,Zr,x,-63614.063,1.584,1,8465.4666,0.0193,1,B-,-11804.0,300.0,0,81,931707.497,1.7,1
0,41,41,82,Nb,x,-51810.0,300.0,0,8312.0,4.0,0,B-,-11440.0,500.0,0,81,944380.0,322.0,0
-2,40,42,82,Mo,x,-40370.0,400.0,0,8163.0,5.0,0,B-,999999.0,999999.0,1,81,956661.0,429.0,0
25,54,29,83,Cu,x,-20390.0,500.0,0,8044.0,6.0,0,B-,15900.0,583.0,0,82,978110.0,537.0,0
23,53,30,83,Zn,x,-36290.0,300.0,0,8226.0,4.0,0,B-,12967.0,300.0,0,82,961041.0,322.0,0
21,52,31,83,Ga,x,-49257.129,2.612,1,8372.5756,0.0315,1,B-,11719.3136,3.5592,1,82,947120.3,2.804,1
19,51,32,83,Ge,x,-60976.442,2.427,1,8504.3462,0.0292,1,B-,8692.8893,3.6979,1,82,934539.1,2.604,1
17,50,33,83,As,x,-69669.331,2.799,1,8599.654,0.0337,1,B-,5671.2117,4.129,1,82,925206.9,3.004,1
15,49,34,83,Se,-n,-75340.543,3.036,1,8658.556,0.0366,1,B-,3673.178,4.8392,1,82,919118.604,3.259,1
13,48,35,83,Br,na,-79013.721,3.795,1,8693.3852,0.0457,1,B-,976.9222,3.7947,1,82,915175.285,4.073,1
11,47,36,83,Kr,na,-79990.643,0.009,1,8695.7295,0.0003,1,B-,-920.0039,2.3288,1,82,914126.516,0.009,1
9,46,37,83,Rb,na,-79070.639,2.329,1,8675.2193,0.0281,1,B-,-2273.0239,6.4245,1,82,915114.181,2.5,1
7,45,38,83,Sr,na,-76797.616,6.834,1,8638.4076,0.0823,1,B-,-4591.9435,19.8444,1,82,917554.372,7.336,1
5,44,39,83,Y,x,-72205.672,18.631,1,8573.6571,0.2245,1,B-,-6294.0125,19.7074,1,82,922484.026,20.0,1
3,43,40,83,Zr,x,-65911.659,6.43,1,8488.3997,0.0775,1,B-,-8298.7493,162.2075,1,82,929240.926,6.902,1
1,42,41,83,Nb,x,-57612.91,162.08,1,8378.9889,1.9528,1,B-,-11273.0,432.0,0,82,938150.0,174.0,1
-1,41,42,83,Mo,x,-46340.0,401.0,0,8234.0,5.0,0,B-,-15020.0,641.0,0,82,950252.0,430.0,0
-3,40,43,83,Tc,x,-31320.0,500.0,0,8043.0,6.0,0,B-,999999.0,999999.0,1,82,966377.0,537.0,0
26,55,29,84,Cu,x,-13720.0,500.0,0,7965.0,6.0,0,B-,18110.0,640.0,0,83,985271.0,537.0,0
24,54,30,84,Zn,x,-31830.0,400.0,0,8171.0,5.0,0,B-,12264.0,401.0,0,83,965829.0,429.0,0
22,53,31,84,Ga,x,-44094.136,29.808,1,8307.525,0.3549,1,B-,14054.2989,29.976,1,83,952663.0,32.0,1
20,52,32,84,Ge,x,-58148.435,3.171,1,8465.5244,0.0377,1,B-,7705.1329,4.4789,1,83,937575.09,3.403,1
18,51,33,84,As,x,-65853.568,3.171,1,8547.9385,0.0377,1,B-,10094.1624,3.7219,1,83,929303.29,3.403,1
16,50,34,84,Se,na,-75947.731,1.961,1,8658.7935,0.0233,1,B-,1835.3638,25.7652,1,83,918466.761,2.105,1
14,49,35,84,Br,na,-77783.094,25.73,1,8671.3294,0.3063,1,B-,4656.251,25.73,1,83,916496.417,27.622,1
12,48,36,84,Kr,na,-82439.34527,0.00382,1,8717.4473,0.0003,1,B-,-2680.3708,2.194,1,83,911497.72708,0.0041,1
10,47,37,84,Rb,na,-79758.975,2.194,1,8676.2244,0.0261,1,B-,890.6058,2.3356,1,83,914375.223,2.355,1
8,46,38,84,Sr,na,-80649.58,1.243,1,8677.5132,0.0148,1,B-,-6755.1411,4.4114,1,83,913419.118,1.334,1
6,45,39,84,Y,na,-73894.439,4.299,1,8587.7812,0.0512,1,B-,-2472.7471,6.9767,1,83,920671.06,4.615,1
4,44,40,84,Zr,x,-71421.692,5.499,1,8549.0301,0.0655,1,B-,-10227.8497,5.5133,1,83,923325.663,5.903,1
2,43,41,84,Nb,x,-61193.842,0.401,1,8417.9563,0.0048,1,B-,-7024.0,298.0,0,83,934305.711,0.43,1
0,42,42,84,Mo,x,-54170.0,298.0,0,8325.0,4.0,0,B-,-16470.0,499.0,0,83,941846.0,320.0,0
-2,41,43,84,Tc,x,-37700.0,400.0,0,8120.0,5.0,0,B-,999999.0,999999.0,1,83,959527.0,429.0,0
25,55,30,85,Zn,x,-25100.0,500.0,0,8090.0,6.0,0,B-,14644.0,502.0,0,84,973054.0,537.0,0
23,54,31,85,Ga,x,-39744.059,37.26,1,8253.5687,0.4384,1,B-,13379.3679,37.4459,1,84,957333.0,40.0,1
21,53,32,85,Ge,x,-53123.427,3.729,1,8401.7689,0.0439,1,B-,10065.7253,4.8303,1,84,942969.658,4.003,1
19,52,33,85,As,x,-63189.152,3.078,1,8510.9851,0.0362,1,B-,9224.4929,4.0313,1,84,932163.658,3.304,1
17,51,34,85,Se,+3p,-72413.645,2.613,1,8610.3045,0.0307,1,B-,6161.8335,4.0313,1,84,922260.758,2.804,1
15,50,35,85,Br,+n2p,-78575.478,3.078,1,8673.5926,0.0362,1,B-,2904.8622,3.6705,1,84,915645.758,3.304,1
13,49,36,85,Kr,+,-81480.341,2.0,1,8698.5633,0.0235,1,B-,687.0,2.0,1,84,912527.26,2.147,1
11,48,37,85,Rb,na,-82167.34065,0.005,1,8697.4416,0.0003,1,B-,-1064.051,2.8132,1,84,911789.73604,0.00537,1
9,47,38,85,Sr,na,-81103.29,2.813,1,8675.7193,0.0331,1,B-,-3261.1584,19.1729,1,84,912932.041,3.02,1
7,46,39,85,Y,x,-77842.131,18.965,1,8628.1486,0.2231,1,B-,-4666.9352,20.0257,1,84,916433.039,20.36,1
5,45,40,85,Zr,x,-73175.196,6.43,1,8564.0394,0.0756,1,B-,-6895.512,7.625,1,84,921443.199,6.902,1
3,44,41,85,Nb,x,-66279.684,4.099,1,8473.7117,0.0482,1,B-,-8769.9238,16.3572,1,84,928845.836,4.4,1
1,43,42,85,Mo,x,-57509.76,15.835,1,8361.332,0.1863,1,B-,-11660.0,400.0,0,84,938260.736,17.0,1
-1,42,43,85,Tc,x,-45850.0,400.0,0,8215.0,5.0,0,B-,-15220.0,640.0,0,84,950778.0,429.0,0
-3,41,44,85,Ru,x,-30630.0,500.0,0,8027.0,6.0,0,B-,999999.0,999999.0,1,84,967117.0,537.0,0
26,56,30,86,Zn,x,-20062.0,500.0,0,8032.0,6.0,0,B-,13699.0,640.0,0,85,978463.0,537.0,0
24,55,31,86,Ga,x,-33760.0,400.0,0,8182.0,5.0,0,B-,15640.0,593.0,0,85,963757.0,429.0,0
22,54,32,86,Ge,x,-49399.927,437.802,1,8354.63,5.0907,1,B-,9562.2229,437.8158,1,85,946967.0,470.0,1
20,53,33,86,As,x,-58962.15,3.45,1,8456.7215,0.0401,1,B-,11541.0256,4.2666,1,85,936701.532,3.703,1
18,52,34,86,Se,x,-70503.175,2.52,1,8581.8224,0.0293,1,B-,5129.086,3.9717,1,85,924311.732,2.705,1
16,51,35,86,Br,+pp,-75632.261,3.078,1,8632.3659,0.0358,1,B-,7633.4147,3.0779,1,85,918805.432,3.304,1
14,50,36,86,Kr,na,-83265.67593,0.00372,1,8712.0295,0.0003,1,B-,-518.6734,0.2,1,85,910610.62468,0.00399,1
12,49,37,86,Rb,-n,-82747.003,0.2,1,8696.9014,0.0023,1,B-,1776.0972,0.2001,1,85,911167.443,0.214,1
10,48,38,86,Sr,na,-84523.09977,0.00524,1,8708.4566,0.0003,1,B-,-5240.0,14.1421,1,85,909260.72473,0.00563,1
8,47,39,86,Y,-,-79283.1,14.142,1,8638.4293,0.1644,1,B-,-1314.0763,14.5847,1,85,914886.095,15.182,1
6,46,40,86,Zr,na,-77969.023,3.566,1,8614.0523,0.0415,1,B-,-8834.9627,6.5521,1,85,916296.814,3.827,1
4,45,41,86,Nb,x,-69134.061,5.499,1,8502.2231,0.0639,1,B-,-5023.1337,6.2316,1,85,925781.536,5.903,1
2,44,42,86,Mo,x,-64110.927,2.932,1,8434.7175,0.0341,1,B-,-12541.0,300.0,0,85,931174.092,3.147,1
0,43,43,86,Tc,x,-51570.0,300.0,0,8280.0,3.0,0,B-,-11800.0,500.0,0,85,944637.0,322.0,0
-2,42,44,86,Ru,x,-39770.0,400.0,0,8133.0,5.0,0,B-,999999.0,999999.0,1,85,957305.0,429.0,0
25,56,31,87,Ga,x,-28870.0,500.0,0,8124.0,6.0,0,B-,14720.0,583.0,0,86,969007.0,537.0,0
23,55,32,87,Ge,x,-43590.0,300.0,0,8285.0,3.0,0,B-,12028.0,300.0,0,86,953204.0,322.0,0
21,54,33,87,As,x,-55617.914,2.985,1,8413.8521,0.0343,1,B-,10808.2192,3.726,1,86,940291.716,3.204,1
19,53,34,87,Se,x,-66426.133,2.241,1,8529.092,0.0258,1,B-,7465.5526,3.8766,1,86,928688.616,2.405,1
17,52,35,87,Br,2p-n,-73891.685,3.171,1,8605.9105,0.0364,1,B-,6817.8455,3.1805,1,86,920674.016,3.404,1
15,51,36,87,Kr,-n,-80709.531,0.246,1,8675.284,0.0028,1,B-,3888.2706,0.2463,1,86,913354.759,0.264,1
13,50,37,87,Rb,na,-84597.802,0.006,1,8710.9843,0.0003,1,B-,282.2749,0.0063,1,86,909180.529,0.006,1
11,49,38,87,Sr,na,-84880.07643,0.00513,1,8705.2363,0.0003,1,B-,-1861.6894,1.1278,1,86,908877.49454,0.0055,1
9,48,39,87,Y,-,-83018.387,1.128,1,8674.8451,0.013,1,B-,-3671.2405,4.2962,1,86,910876.1,1.21,1
7,47,40,87,Zr,na,-79347.147,4.146,1,8623.6545,0.0477,1,B-,-5472.6536,7.9633,1,86,914817.338,4.45,1
5,46,41,87,Nb,x,-73874.493,6.802,1,8551.7579,0.0782,1,B-,-6989.6757,7.3781,1,86,920692.473,7.302,1
3,45,42,87,Mo,na,-66884.817,2.857,1,8462.4243,0.0328,1,B-,-9194.7656,5.0729,1,86,928196.198,3.067,1
1,44,43,87,Tc,x,-57690.052,4.192,1,8347.7449,0.0482,1,B-,-11960.0,400.0,0,86,938067.185,4.5,1
-1,43,44,87,Ru,x,-45730.0,400.0,0,8201.0,5.0,0,B-,999999.0,999999.0,1,86,950907.0,429.0,0
26,57,31,88,Ga,x,-22390.0,500.0,0,8050.0,6.0,0,B-,17129.0,640.0,0,87,975963.0,537.0,0
24,56,32,88,Ge,x,-39520.0,400.0,0,8236.0,5.0,0,B-,10930.0,447.0,0,87,957574.0,429.0,0
22,55,33,88,As,x,-50450.0,200.0,0,8351.0,2.0,0,B-,13434.0,200.0,0,87,945840.0,215.0,0
20,54,34,88,Se,x,-63884.203,3.357,1,8495.0045,0.0382,1,B-,6831.764,4.6125,1,87,931417.49,3.604,1
18,53,35,88,Br,++,-70715.967,3.171,1,8563.7479,0.036,1,B-,8975.3282,4.1059,1,87,924083.29,3.404,1
16,52,36,88,Kr,x,-79691.295,2.608,1,8656.8499,0.0296,1,B-,2917.709,2.613,1,87,914447.879,2.8,1
14,51,37,88,Rb,na,-82609.004,0.159,1,8681.1154,0.0018,1,B-,5312.6243,0.159,1,87,911315.59,0.17,1
12,50,38,88,Sr,na,-87921.62876,0.00561,1,8732.5958,0.0003,1,B-,-3622.6,1.5,1,87,905612.253,0.006,1
10,49,39,88,Y,-,-84299.029,1.5,1,8682.5396,0.017,1,B-,-670.1549,5.6076,1,87,909501.274,1.61,1
8,48,40,88,Zr,na,-83628.874,5.403,1,8666.0339,0.0614,1,B-,-7457.3187,57.8921,1,87,910220.715,5.8,1
6,47,41,88,Nb,na,-76171.555,57.808,1,8572.4013,0.6569,1,B-,-3485.0021,57.9345,1,87,918226.476,62.059,1
4,46,42,88,Mo,x,-72686.553,3.819,1,8523.9087,0.0434,1,B-,-11016.2515,5.6021,1,87,921967.779,4.1,1
2,45,43,88,Tc,x,-61670.301,4.099,1,8389.8338,0.0466,1,B-,-7331.0,300.0,0,87,933794.211,4.4,1
0,44,44,88,Ru,x,-54340.0,300.0,0,8298.0,3.0,0,B-,-17479.0,500.0,0,87,941664.0,322.0,0
-2,43,45,88,Rh,x,-36860.0,400.0,0,8090.0,5.0,0,B-,999999.0,999999.0,1,87,960429.0,429.0,0
25,57,32,89,Ge,x,-33040.0,400.0,0,8161.0,4.0,0,B-,13490.0,500.0,0,88,964530.0,429.0,0
23,56,33,89,As,x,-46530.0,300.0,0,8304.0,3.0,0,B-,12462.0,300.0,0,88,950048.0,322.0,0
21,55,34,89,Se,x,-58992.398,3.729,1,8435.2799,0.0419,1,B-,9281.873,4.951,1,88,936669.058,4.003,1
19,54,35,89,Br,x,-68274.271,3.264,1,8530.7802,0.0367,1,B-,8261.5231,3.9045,1,88,926704.558,3.504,1
17,53,36,89,Kr,x,-76535.795,2.142,1,8614.8158,0.0241,1,B-,5176.6042,5.8342,1,88,917835.449,2.3,1
15,52,37,89,Rb,na,-81712.399,5.427,1,8664.1895,0.061,1,B-,4496.6278,5.4265,1,88,912278.136,5.825,1
13,51,38,89,Sr,na,-86209.026,0.092,1,8705.923,0.0011,1,B-,1502.1757,0.351,1,88,907450.808,0.098,1
11,50,39,89,Y,na,-87711.202,0.339,1,8714.011,0.0038,1,B-,-2833.2285,2.7652,1,88,905838.156,0.363,1
9,49,40,89,Zr,na,-84877.974,2.78,1,8673.3865,0.0312,1,B-,-4252.2191,23.7199,1,88,908879.751,2.983,1
7,48,41,89,Nb,na,-80625.755,23.63,1,8616.8184,0.2655,1,B-,-5610.8105,23.9513,1,88,913444.696,25.367,1
5,47,42,89,Mo,x,-75014.944,3.912,1,8544.9851,0.044,1,B-,-7620.0875,5.4673,1,88,919468.149,4.2,1
3,46,43,89,Tc,x,-67394.857,3.819,1,8450.5758,0.0429,1,B-,-9025.4327,24.5181,1,88,927648.649,4.1,1
1,45,44,89,Ru,x,-58369.424,24.219,1,8340.376,0.2721,1,B-,-12719.0,361.0,0,88,937337.849,26.0,1
-1,44,45,89,Rh,-p,-45651.0,361.0,0,8189.0,4.0,0,B-,999999.0,999999.0,1,88,950992.0,387.0,0
26,58,32,90,Ge,x,-28470.0,500.0,0,8109.0,6.0,0,B-,12520.0,640.0,0,89,969436.0,537.0,0
24,57,33,90,As,x,-40990.0,400.0,0,8240.0,4.0,0,B-,14810.0,518.0,0,89,955995.0,429.0,0
22,56,34,90,Se,x,-55800.223,329.749,1,8395.7672,3.6639,1,B-,8200.0834,329.766,1,89,940096.0,354.0,1
20,55,35,90,Br,x,-64000.306,3.357,1,8478.1865,0.0373,1,B-,10958.9533,3.8396,1,89,931292.848,3.604,1
18,54,36,90,Kr,x,-74959.259,1.863,1,8591.2599,0.0207,1,B-,4406.3133,6.7158,1,89,919527.929,2.0,1
