#nucid	Z	A	liso	energy_[keV]	D_energy_[keV]	beta-_%	D_beta-	AME2021_Qb	AME2020_D_Qb	AME2020_Qb1n	AME2020_D_Qb1n	AME2021_Qb2n	AME2021_D_Qb2n	Qb3n	D_Qb3n	T12	D_T12	P1n	D_P1n	P2n	D_P2n	P3n	D_P3n	Neueff_1n	lowerEff	upperEff	Neueff_2n	lowerEff	upperEff	D_T12_Hi	D_P1n_Hi	D_P2n_Hi
28Ne	10	28	0	0	0	100	0	12288.0534	126.4833	8746.2106	126.1227	2017.8825	126.945953437	0	0	0.0189	0.0005	12	1	3.7	0.5	0	0	0.645289	0.04807034537185	0.027891295150439	0.673509	0.020257231690754	0.020227310047876	0.0005	1	0.5
29Ne	10	29	0	0	0	100	0	15719.8092	149.6847	11316.8002	149.8555	7774.9575	149.910709817	1050	150	0.014	0.0005	28	7	4	1	0	0	0.634086	0.050668412190007	0.033474325771499	0.667731	0.026208552411854	0.0207650711659	0.0005	7	1
30Ne	10	30	0	0	0	100	0	14805.4501	253.2946	12528.808	253.3567	8125.799	253.545829307	4580	250	0.00739	0.00011	12.6	3.5	8.9	2.3	0	0	0.629911	0.047176224489979	0.034812515711004	0.667039	0.02686144980765	0.020880430282178	0.00011	3.5	2.3
31Ne	10	31	0	0	0	100	0	18935.5625	266.5617	14635.6061	266.2373	12358.964	267.028448846	7960	270	0.0034	0.0008	0	0	0	0	0	0	0.622874	0.055644383246545	0.037941550559886	0.659533	0.034793531011958	0.022170823378488	0.0008	0	0
32Ne	10	32	0	0	0	100	0	18359	504	16682	503	12381.8457	505.3975004	10110	500	0.0035	0.0009	0	0	0	0	0	0	0.615222	0.072893323578745	0.04221811457604	0.659439	0.034921190475826	0.022210426183414	0.0009	0	0
27Na	11	27	0	0	0	100	0	9068.8037	3.7266	2625.435	3.7264	0	0	0	0	0.3	0.007	0.13	0.04	0	0	0	0	0.669552	0.022111149713066	0.020415136458853	0.673061	0.020191855356775	0.020287509032627	0.007	0.04	0
28Na	11	28	0	0	0	100	0	14031.6303	10.2498	5526.9609	10.2465	0	0	0	0	0.0322	0.0018	0.84	0.17	0	0	0	0	0.660229	0.033970011822148	0.021890906404188	0.673061	0.020191855356775	0.020287509032627	0.0018	0.17	0
29Na	11	29	0	0	0	100	0	13292.3538	7.3447	9628.6213	7.3412	1123.9519	7.35292549806	0	0	0.0436	0.001	25	1.6	0	0	0	0	0.640159	0.044660111853341	0.030169131239612	0.673823	0.020222584325355	0.020240761368983	0.001	1.6	0
30Na	11	30	0	0	0	100	0	17356.0423	4.9011	11015.7117	4.7395	7351.9792	5.07597852832	0	0	0.0494	0.002	30	5	1.27	0.25	0	0	0.634719	0.051213505563132	0.033458803506176	0.668308	0.025586844932066	0.020637434156833	0.002	5	0.25
31Na	11	31	0	0	0	100	0	15368.1833	14.3065	13056.0859	14.0323	6715.7553	14.637070352	3051	14	0.0174	0.0004	37	6	0.79	0.24	0	0	0.627053	0.049042334766282	0.036215918148352	0.669179	0.024786567423443	0.020474103683358	0.0004	6	0.24
32Na	11	32	0	0	0	100	0	19469.0523	37.4021	13690.9853	37.3863	11378.888	37.5662501244	5029	39	0.0133	0.0004	24	8	8.8	2.5	0	0	0.625566	0.05099765778269	0.036732907144962	0.661464	0.033948610957835	0.02143832852548	0.0004	8	2.5
33Na	11	33	0	0	0	100	0	18817.24	449.9195	16537.6956	449.9235	10759.6286	449.937883946	8450	450	0.0081	0.0004	47	6	13	3	0	0	0.615979	0.072895207740954	0.041710890083969	0.66258	0.033660782162036	0.021129322179379	0.0004	6	3
34Na	11	34	0	0	0	100	0	23356.7903	599.4561	18645.9235	599.4224	16366.379	599.504595063	10590	600	0.005	0.0009	54	5	18	5	0	0	0.606287	0.08378605180895	0.047642614220172	0.653572	0.041616318761582	0.024811334894874	0.0009	5	5
35Na	11	35	0	0	0	100	0	22192	723	21437	670	16726.277	771.658395893	14850	670	0.0018	0.0005	0	0	0	0	0	0	0.599231	0.094880599999288	0.047776147157603	0.653093	0.042899514169558	0.024986885940111	0.0005	0	0
30Mg	12	30	0	0	0	100	0	6982.744	2.3287	1255.0717	1.34	0	0	0	0	0.317	0.005	0.03	0.03	0	0	0	0	0.6732	0.020524426057749	0.020213295426526	0.673056	0.020191713900073	0.020286681892868	0.005	0.03	0
31Mg	12	31	0	0	0	100	0	11828.5569	3.8009	4670.6466	3.6325	0	0	0	0	0.236	0.02	6.2	1.9	0	0	0	0	0.663386	0.030774252476647	0.021282731274355	0.673056	0.020191713900073	0.020286681892868	0.02	1.9	0
32Mg	12	32	0	0	0	100	0	10270.4677	7.8787	6050.4899	3.9531	0	0	0	0	0.086	0.005	5.4	0.5	0	0	0	0	0.657201	0.037194493677975	0.023223874955763	0.673056	0.020191713900073	0.020286681892868	0.005	0.5	0
33Mg	12	33	0	0	0	100	0	13460.255	7.4767	7990.9232	7.651	3770.9455	10.4740728435	0	0	0.0894	0.001	14	2	0	0	0	0	0.649832	0.047850350744813	0.026203407152537	0.6732	0.020954012527437	0.020201329461201	0.001	2	0
34Mg	12	34	0	0	0	100	0	11320.9428	7.2072	8749.3881	9.8143	3280.0564	10.3835380218	0	0	0.02	0.01	58	12	0	0	0	0	0.645117	0.048034401404828	0.027945368673898	0.6732	0.020625657807692	0.020205792659532	0.01	12	0
35Mg	12	35	0	0	0	100	0	15863.5156	269.7679	10566.0866	269.6758	7994.5319	269.958662484	2530	270	0.0113	0.0006	52	46	0	0	0	0	0.635663	0.052422583545759	0.03303418503024	0.667331	0.026614073217095	0.020846509089171	0.0006	46	0
36Mg	12	36	0	0	0	100	0	14429.7751	706.2429	12532.5711	690.2764	7235.142	721.896907172	4660	690	0.0058	0.0019	48	12	0	0	0	0	0.625061	0.051853384309502	0.037049821110889	0.66847	0.025458884162704	0.020604364266097	0.0019	12	0
37Mg	12	37	0	0	0	100	0	18401.9132	721.8139	14189.7752	714.758	12292.5711	744.014388104	7000	700	0.008	0.004	0	0	0	0	0	0	0.617142	0.069903372396098	0.041059149130829	0.657329	0.037164314521015	0.02316605106221	0.004	0	0
31Al	13	31	0	0	0	100	0	7998.3286	2.236	1410.9356	2.2357	0	0	0	0	0.644	0.025	0.8	0.8	0	0	0	0	0.6732	0.020542845396877	0.02020886580192	0.673048	0.020191492398374	0.020285575004757	0.025	0.8	0
32Al	13	32	0	0	0	100	0	12978.3208	7.1787	3778.3509	7.1726	0	0	0	0	0.0319	0.0008	0.7	0.5	0	0	0	0	0.667603	0.026349331548411	0.020795451378802	0.673048	0.020191492398374	0.020285575004757	0.0008	0.5	0
33Al	13	33	0	0	0	100	0	12016.946	7.0211	7508.989	6.9926	0	0	0	0	0.0417	0.0002	8.5	0.7	0	0	0	0	0.65184	0.045485210080201	0.025431494805457	0.673048	0.020191492398374	0.020285575004757	0.0002	0.7	0
34Al	13	34	0	0	0	100	0	16994.0653	2.2519	9445.3913	2.2176	4937.4343	2.4086794411	0	0	0.0563	0.0006	26	4	0	0	0	0	0.641105	0.047489970519284	0.029584108908712	0.670221	0.021393195622835	0.020337694533966	0.0006	4	0
35Al	13	35	0	0	0	100	0	14167.7504	36.6047	11696.6363	7.4023	4147.9622	51.2459257281	0	0	0.0376	0.0014	38	2	0	0	0	0	0.629711	0.047064804240206	0.034900019687228	0.672299	0.021253332794197	0.020206990668106	0.0014	2	0
36Al	13	36	0	0	0	100	0	18386.5096	165.851	12270.5464	153.7447	9799.4322	180.726497904	2250	150	0.094	0.037	15.5	15.5	0	0	0	0	0.625915	0.050496121172844	0.036632591288394	0.663275	0.031200598985637	0.021263357426862	0.037	15.5	0
37Al	13	37	0	0	0	100	0	16381.0765	213.1678	14174.3716	194.0176	8058.4084	244.292495571	5550	180	0.0107	0.0013	55	11	0	0	0	0	0.617209	0.06935924753566	0.040892344695712	0.667183	0.026738974175164	0.020863283752566	0.0013	11	0
38Al	13	38	0	0	0	100	0	20640	183	14970	188	12763.1901	222.767745566	6390	380	0.0082	0.0007	82	18	0	0	0	0	0.611854	0.077149420876533	0.044324347830334	0.656303	0.037869751333064	0.023669966392627	0.0007	18	0
39Al	13	39	0	0	0	100	0	19169	329	17589	318	11918.2278	373.580783549	8870	410	0.0076	0.0016	87	13	0	0	0	0	0.601169	0.093769718517786	0.047566626692513	0.658137	0.036558168768308	0.022783914933393	0.0016	13	0
35Si	14	35	0	0	0	100	0	10466.3291	35.9049	2085.9034	35.8665	0	0	0	0	0.78	0.12	2.63	2.63	0	0	0	0	0.671425	0.021555060973296	0.020242193398012	0.673049	0.020191520144875	0.020285797414963	0.12	2.63	0
36Si	14	36	0	0	0	100	0	7814.9194	72.9852	4350.3658	71.8217	0	0	0	0	0.45	0.06	12.4	4.6	0	0	0	0	0.664481	0.028983842040435	0.021227306103811	0.673049	0.020191520144875	0.020285797414963	0.06	4.6	0
37Si	14	37	0	0	0	100	0	12424.5003	119.9691	5608.2145	114.5623	2143.661	125.841289759	0	0	0.094	0.062	17	13	0	0	0	0	0.659581	0.034739260138997	0.022150944043198	0.673396	0.020325026728996	0.020203876151234	0.062	13	0
38Si	14	38	0	0	0	100	0	10451.2656	127.4736	6754.3952	111.4524	0	0	0	0	0.095	0.01	28	7	0	0	0	0	0.654496	0.040016320878042	0.024489012589617	0.673049	0.020191520144875	0.020285797414963	0.01	7	0
