8	10
15	16
40	56
2	1
2	2
40	50
40	54
40	52
40	51
39	50
90	142
27	32
55	78
31	40
31	38
81	122
67	98
81	124
48	64
48	65
48	62
48	63
48	60
48	68
48	66
48	58
94	150
36	50
36	42
36	48
36	47
36	46
36	44
24	30
3	3
3	4
79	118
75	110
75	112
24	28
24	29
52	68
24	26
12	13
12	12
12	14
52	72
52	73
52	70
52	71
52	76
52	74
52	78
64	88
64	90
64	92
64	91
64	94
64	93
64	96
71	104
71	105
4	5
29	36
29	34
57	82
57	81
17	20
17	18
70	98
21	24
80	116
80	118
80	119
80	120
80	121
80	122
80	124
68	102
68	100
45	58
33	42
26	30
26	32
26	31
26	28
5	5
5	6
14	16
14	14
14	15
51	70
51	72
38	50
38	46
38	48
78	112
38	49
78	117
78	118
78	114
78	116
78	120
54	70
54	75
54	74
54	72
54	78
74	110
54	77
54	76
74	112
54	82
54	80
74	106
42	58
74	108
74	109
42	53
42	54
42	55
42	56
42	50
42	52
66	90
66	94
66	92
66	97
66	98
66	95
66	96
30	40
30	38
30	34
30	37
30	36
59	82
70	101
70	100
60	85
60	84
60	83
60	82
70	104
70	103
70	102
70	106
60	88
60	86
6	6
6	7
60	90
47	62
47	60
35	46
35	44
83	126
23	27
23	28
63	88
63	90
11	12
7	7
7	8
9	10
69	100
92	143
28	36
68	96
68	94
28	30
68	99
68	98
28	33
28	34
28	32
92	146
77	116
77	114
16	18
16	17
16	16
16	20
32	44
32	41
32	42
32	40
32	38
19	22
19	21
19	20
20	28
20	26
20	24
20	23
20	22
20	20
56	78
56	79
56	74
56	76
56	81
56	82
56	80
44	60
73	108
44	56
44	55
44	58
44	57
44	52
44	54
8	8
8	9
37	50
37	48
50	62
50	64
50	66
50	65
50	68
50	67
50	69
50	70
50	72
50	74
25	30
62	88
62	82
62	84
62	85
62	86
62	87
49	66
49	64
82	122
65	94
41	51
41	52
82	124
82	125
82	126
13	14
53	74
46	60
46	62
46	64
46	58
46	59
46	56
18	18
76	116
18	22
76	110
76	111
76	112
76	113
18	20
76	114
76	108
1	0
1	1
58	78
58	84
58	80
58	82
10	10
10	11
10	12
72	108
72	107
72	106
72	105
72	104
72	102
62	90
62	92
34	40
34	48
34	46
34	43
34	44
34	42
22	28
22	27
22	26
22	25
22	24
