# Note should start from #, non-zero upper value indicate varying variable, half-life is in second
# RI should be in the sequences of increasing Z and decreasing A for each isotropic row
#Name	Z	A	Half-life	Abs_Error_HL	Abs_Error_HL_Hi	lowerHL	upperHL	P1n	Abs_Error_P1n	Abs_Error_P1n_Hi	lowerP1n	upperP1n	P2n	Abs_Error_P2n	Abs_Error_P2n_Hi	lowerP2n	upperP2n	Neu.Eff	Neu.Eff_Err	Neu.Eff_ErrHi	lowerNeu.Eff	upperNeu.Eff	AlphaBR	D_AlphaBR	D_AlphaBR_Hi	lowerAlphaBR	upperAlphaBR
^{218}Pb	82	218	-15	7	7	3	75	5	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1	0	0	0	0	200
^{218}Bi	83	218	33	1	1	6.6	165	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1	0	0	0	0	200
^{217}Bi	83	217	98.5	1.3	1.3	19.7	492.5	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1	0	0	0	0	200
^{218}Po	84	218	185.82	0.6	0.6	37.164	929.1	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1	99.978	0.003	0.003	0	200
^{217}Po	84	217	1.53	0.05	0.05	0.306	7.65	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1	97.5	2.5	2.5	0	200
^{218}At	85	218	1.28	0.05	0.05	0.256	6.4	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1	99.95	0.05	0.05	0	200
^{217}At	85	217	0.0326	0.0002	0.0002	0.00652	0.163	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1	99.993	0.003	0.003	0	200
^{218}Rn	86	218	0.03375	0.00015	0.00015	0.00675	0.16875	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1	100	0	0	0	200
