#nucid	Z	A	liso	energy_[keV]	D_energy_[keV]	beta-_%	D_beta-	AME2021_Qb	AME2020_D_Qb	AME2020_Qb1n	AME2020_D_Qb1n	AME2021_Qb2n	AME2021_D_Qb2n	Qb3n	D_Qb3n	T12	D_T12	P1n	D_P1n	P2n	D_P2n	P3n	D_P3n	Neueff_1n	lowerEff	upperEff	Neueff_2n	lowerEff	upperEff	D_T12_Hi	D_P1n_Hi	D_P2n_Hi
47Cl	17	47	0	0	0	100	0	15787	200	12120	200	4047.8912	200.004322358	0	0	0.101	0.006	1.5	1.5	0	0	0	0	0.626311	0.049925584091214	0.036497129241201	0.671968	0.021362860148435	0.020216866169652	0.006	1.5	0
47Ar	18	47	0	0	0	100	0	10344.7078	1.849	1975.3375	1.4122	0	0	0	0	1.23	0.03	0.1	0.1	0	0	0	0	0.672162	0.021297217724848	0.02021053544119	0.673095	0.020193801205382	0.020192930449108	0.03	0.1	0
48Ar	18	48	0	0	0	100	0	9929.555	16.7847	5285.7367	16.825	0	0	0	0	0.424	0.024	38	6	0	0	0	0	0.661665	0.033945646024233	0.021370526526094	0.673095	0.020193801205382	0.020192930449108	0.024	6	0
49Ar	18	49	0	0	0	100	0	12551	400	7153	400	2508.8499	400.003242527	0	0	0.236	0.008	29	6	0	0	0	0	0.653096	0.042854191343373	0.024964630734189	0.6732	0.020525495974519	0.020213007124127	0.008	6	0
50Ar	18	50	0	0	0	100	0	12498	500	8310	500	2911.9932	500.060369256	0	0	0.106	0.006	37	7	0	0	0	0	0.647741	0.046261213632728	0.026966449001915	0.6732	0.020548356065632	0.020207715358249	0.006	7	0
48K	19	48	0	0	0	100	0	11940.3857	0.7734	1988.8654	2.3515	0	0	0	0	6.83	0.02	1.14	0.15	0	0	0	0	0.672119	0.021312136428451	0.020211837401506	0.673096	0.020193831203969	0.02019297518184	0.02	0.15	0
49K	19	49	0	0	0	100	0	11688.5069	0.8205	6542.0539	0.8013	0	0	0	0	1.263	0.05	86	9	0	0	0	0	0.655173	0.039383332488962	0.024257393716888	0.673096	0.020193831203969	0.02019297518184	0.05	9	0
50K	19	50	0	0	0	100	0	13861.3774	7.8919	7500.8319	7.7334	2354.3789	8.0492157736	0	0	0.472	0.004	28.6	3	0	0	0	0	0.651743	0.045672751397788	0.025468943543934	0.6732	0.020517336693636	0.020215206578217	0.004	3	0
51K	19	51	0	0	0	100	0	13816.8529	13.0517	9002.4553	13.1371	2641.9098	13.0633255295	0	0	0.365	0.005	65	8	0	0	0	0	0.64344	0.048102068679424	0.028552636502432	0.6732	0.02053339389872	0.020211018207898	0.005	8	0
52K	19	52	0	0	0	100	0	17128.6431	33.5405	11123.3631	33.5378	6308.9655	33.5845575874	0	0	0.11	0.005	72.2	9.3	2.3	0.3	0	0	0.633174	0.049498798610152	0.033485133400487	0.669285	0.024693901982119	0.020456671163767	0.005	9.3	0.3
53K	19	53	0	0	0	100	0	17091.9853	120.0471	13899.2313	111.7813	7893.9514	127.782172377	3080	110	0.03	0.005	75	10	5	5	0	0	0.618689	0.064352749706978	0.039929986061216	0.666683	0.027159224514704	0.020918807333118	0.005	10	5
54K	19	54	0	0	0	100	0	20010	403	16166	402	12973.0482	405.901042656	7120	600	0.01	0.005	0	0	0	0	0	0	0.606161	0.085851042225059	0.047029051480217	0.655395	0.03909501280755	0.024143829220372	0.005	0	0
51Ca	20	51	0	0	0	100	0	6918.0432	2.5686	133.4927	2.5688	0	0	0	0	10	0.8	0	0	0	0	0	0	0.67316	0.020203213507757	0.02019521842021	0.673096	0.020193831203969	0.02019297518184	0.8	0	0
52Ca	20	52	0	0	0	100	0	6257.2889	3.1463	912.7632	2.6029	0	0	0	0	4.6	0.3	1	1	0	0	0	0	0.673546	0.020240630467068	0.020237009702632	0.673096	0.020193831203969	0.02019297518184	0.3	1	0
53Ca	20	53	0	0	0	100	0	9381.8471	47.2223	3064.5349	43.888	0	0	0	0	0.461	0.09	40	10	0	0	0	0	0.669416	0.024360109748324	0.0204358669733	0.673096	0.020193831203969	0.02019297518184	0.09	10	0
54Ca	20	54	0	0	0	100	0	9277.3463	50.4129	5537.6493	51.5698	0	0	0	0	0.107	0.014	0	0	0	0	0	0	0.659937	0.034292348411447	0.022005899403844	0.673096	0.020193831203969	0.02019297518184	0.014	0	0
55Ca	20	55	0	0	0	100	0	12191.7329	171.9435	7716.2405	160.8251	3976.5435	183.773988106	0	0	0.022	0.002	0	0	0	0	0	0	0.650866	0.047155570444651	0.025808855533719	0.672082	0.02132440016159	0.020212965572909	0.002	0	0
56Ca	20	56	0	0	0	100	0	12005.458	360.2029	9260.3993	257.3236	4784.907	444.260273723	790	410	0.011	0.002	0	0	0	0	0	0	0.641871	0.049525793114062	0.029133988940358	0.669899	0.021347454278693	0.020372296070421	0.002	0	0
51Sc	21	51	0	0	0	100	0	6482.6122	2.5612	110.1965	2.5164	0	0	0	0	12.4	0.1	0	0	0	0	0	0	0.673117	0.020193517155763	0.020193804176532	0.673096	0.020193831203969	0.020192978276975	0.1	0	0
52Sc	21	52	0	0	0	100	0	8954.1372	4.1223	1138.0865	3.1118	0	0	0	0	8.2	0.2	0	0	0	0	0	0	0.673218	0.020492465151162	0.020212102240282	0.673096	0.020193831203969	0.020192978276975	0.2	0	0
53Sc	21	53	0	0	0	100	0	8111.8785	17.9325	2636.825	17.9103	0	0	0	0	2.4	0.6	0	0	0	0	0	0	0.669542	0.022305780434399	0.020416630593406	0.673096	0.020193831203969	0.020192978276975	0.6	0	0
54Sc	21	54	0	0	0	100	0	11305.8789	21.1188	4372.1815	14.2683	0	0	0	0	0.526	0.015	16	9	0	0	0	0	0.664234	0.029176100614722	0.02126329436095	0.673096	0.020193831203969	0.020192978276975	0.015	9	0
55Sc	21	55	0	0	0	100	0	10990.3608	68.7671	6830.3865	64.3881	0	0	0	0	0.096	0.002	17	7	0	0	0	0	0.654097	0.040382236600616	0.024618819749698	0.673096	0.020193831203969	0.020192978276975	0.002	7	0
56Sc	21	56	0	0	0	100	0	13907.147	278.3271	8245.3022	261.2655	4085.3279	296.237877422	0	0	0.031	0.005	0	0	0	0	0	0	0.647969	0.04603915940224	0.026882114248416	0.671796	0.02142163576981	0.020223613995881	0.005	0	0
56Sc	21	56	1	0	0	100	0	0	0	0	0	0	0	0	0	0.069	0.007	24	12	0	0	0	0	0.673096	0.020193831203969	0.020192978276975	0.673096	0.020193831203969	0.020192978276975	0.007	12	0
57Sc	21	57	0	0	0	100	0	13022.1957	273.3249	9972.0247	205.8164	4310.1799	343.404400833	400	1300	0.022	0.002	0	0	0	0	0	0	0.638092	0.057321847679725	0.031477696936364	0.671154	0.021527583388397	0.020258838134118	0.002	0	0
58Sc	21	58	0	0	0	100	0	15438.0995	264.0509	10850.9613	280.1708	7800.7903	336.714213086	2580	430	0.012	0.005	0	0	0	0	0	0	0.634959	0.051420465599923	0.033454680427601	0.666849	0.027015905794937	0.020898245833584	0.005	0	0
56Ti	22	56	0	0	0	100	0	6760.4051	188.1842	1630.8225	103.778	0	0	0	0	0.2	0.005	0	0	0	0	0	0	0.6732	0.020753728749312	0.020203734729005	0.673096	0.020193831203969	0.020192981421633	0.005	0	0
57Ti	22	57	0	0	0	100	0	10033.2148	222.6466	3710.2341	270.7795	0	0	0	0	0.098	0.005	0	0	0	0	0	0	0.667704	0.026237619641545	0.020771417487846	0.673096	0.020193831203969	0.020192981421633	0.005	0	0
58Ti	22	58	0	0	0	100	0	9512.9152	206.8675	5446.0767	201.9869	0	0	0	0	0.058	0.009	0	0	0	0	0	0	0.660539	0.033964876246925	0.021771653990198	0.673096	0.020193831203969	0.020192981421633	0.009	0	0
59Ti	22	59	0	0	0	100	0	11731	330	6480	315	2412.81	367.374693108	0	0	0.0285	0.0025	0	0	0	0	0	0	0.655375	0.039121508605401	0.024154372535061	0.6732	0.02052104919345	0.020214174853305	0.0025	0	0
60Ti	22	60	0	0	0	100	0	10987.704	301.4311	7439.6014	276.8307	2188.2499	364.891551518	0	0	0.0222	0.002	0	0	0	0	0	0	0.651869	0.045430517384737	0.025420660000183	0.673274	0.020431552368051	0.020203641136399	0.002	0	0
61Ti	22	61	0	0	0	100	0	13807	381	8646	351	5097.8596	468.21706636	0	0	0.015	0.004	0	0	0	0	0	0	0.645459	0.048101690330101	0.027822940707497	0.669566	0.021868305616129	0.020413052724186	0.004	0	0
56V	23	56	0	0	0	100	0	9101.727	175.8854	855.6051	175.8846	0	0	0	0	0.216	0.004	0	0	0	0	0	0	0.673625	0.020218443376346	0.020269721694254	0.673097	0.020193861202556	0.020193027887568	0.004	0	0
57V	23	57	0	0	0	100	0	8089.9214	84.7864	2778.7463	84.7679	0	0	0	0	0.347	0.01	0	0	0	0	0	0	0.6695	0.023189120832839	0.020422958282286	0.673097	0.020193861202556	0.020193027887568	0.01	0	0
58V	23	58	0	0	0	100	0	11561.224	95.8625	4023.083	95.8342	0	0	0	0	0.19	0.01	0	0	0	0	0	0	0.666167	0.027611907462182	0.020985381309381	0.673097	0.020193861202556	0.020193027887568	0.01	0	0
59V	23	59	0	0	0	100	0	10505.3137	137.4021	6309.8725	137.4328	0	0	0	0	0.092	0.009	6	3	0	0	0	0	0.655993	0.038282668447277	0.023828978795662	0.673097	0.020193861202556	0.020193027887568	0.009	3	0
60V	23	60	0	0	0	100	0	13821.0986	181.9496	6957.2111	181.9474	2761.7698	181.977448087	0	0	0.04	0.015	0	0	0	0	0	0	0.653664	0.04135149088493	0.024767021347074	0.6732	0.020541383035229	0.020209188900102	0.015	0	0
60V	23	60	1	0	0	100	0	0	0	0	0	0	0	0	0	0.122	0.018	0	0	0	0	0	0	0.673097	0.020193861202556	0.020193027887568	0.673097	0.020193861202556	0.020193027887568	0.018	0	0
61V	23	61	0	0	0	100	0	12319.3807	234.9272	8660.0609	234.9225	1796.1734	234.935543713	0	0	0.0483	0.001	20	10	0	0	0	0	0.645195	0.048049988243729	0.027917429201531	0.673563	0.020234725707854	0.020243085324923	0.001	10	0
62V	23	62	0	0	0	100	0	15639.4478	264.3094	9212.0204	264.2935	5552.7005	264.334233937	0	0	0.0335	0.002	0	0	0	0	0	0	0.642054	0.049359385338803	0.029065654887245	0.669501	0.023173169703364	0.020422806641128	0.002	0	0
63V	23	63	0	0	0	100	0	14438.1586	347.672	11041.1524	340.0128	4613.725	355.187640731	570	440	0.0196	0.001	67	33	0	0	0	0	0.633568	0.05008008045682	0.033478667380312	0.670322	0.021407335782755	0.020327504748877	0.001	33	0
64V	23	64	0	0	0	100	0	17320	500	11787	406	8389.9972	583.075073664	1940	410	0.015	0.002	0	0	0	0	0	0	0.628396	0.048034006490552	0.035547603977405	0.665216	0.028413231407047	0.021116313551148	0.002	0	0
60Cr	24	60	0	0	0	100	0	6059.4457	2.5831	545.5102	2.5831	0	0	0	0	0.492	0.013	0	0	0	0	0	0	0.674096	0.020242719468846	0.020271836115518	0.673096	0.020193840934661	0.020192984615812	0.013	0	0
61Cr	24	61	0	0	0	100	0	9245.6277	2.9822	2400.1258	2.9822	0	0	0	0	0.234	0.01	0	0	0	0	0	0	0.669749	0.021326405034626	0.020389905607945	0.673096	0.020193840934661	0.020192984615812	0.01	0	0
62Cr	24	62	0	0	0	100	0	7671.3532	7.3947	2818.2002	4.1595	0	0	0	0	0.2	0.012	0	0	0	0	0	0	0.669484	0.023407101158204	0.02042539105208	0.673096	0.020193840934661	0.020192984615812	0.012	0	0
63Cr	24	63	0	0	0	100	0	10708.7611	72.752	4274.3471	72.9505	0	0	0	0	0.129	0.002	0	0	0	0	0	0	0.664685	0.028822270127499	0.021194495943582	0.673096	0.020193840934661	0.020192984615812	0.002	0	0
64Cr	24	64	0	0	0	100	0	9349.0622	299.962	5175.7645	299.9642	0	0	0	0	0.0429	0.001	0	0	0	0	0	0	0.662307	0.033933399034345	0.021164003095447	0.673096	0.020193840934661	0.020192984615812	0.001	0	0
65Cr	24	65	0	0	0	100	0	12657	200	6608	200	2434.0803	200.069401765	0	0	0.028	0.003	0	0	0	0	0	0	0.65486	0.039674543710546	0.024361064891338	0.6732	0.020523002143936	0.020213669656943	0.003	0	0
66Cr	24	66	0	0	0	100	0	11610	300	7756	300	1706.0119	300.229038611	0	0	0.023	0.004	0	0	0	0	0	0	0.650648	0.047502681891801	0.025895034155482	0.673629	0.020217745365814	0.020271558294243	0.004	0	0
61Mn	25	61	0	0	0	100	0	7178.373	3.4965	1599.7264	4.1261	0	0	0	0	0.709	0.008	0	0	0	0	0	0	0.6732	0.020723282582641	0.020204183749907	0.673097	0.020193870933234	0.020193038361477	0.008	0	0
62Mn	25	62	0	0	0	100	0	10354.092	7.1142	2325.22	7.0431	0	0	0	0	0.092	0.013	0	0	0	0	0	0	0.670207	0.021391093580369	0.020339086546945	0.673097	0.020193870933234	0.020193038361477	0.013	0	0
62Mn	25	62	1	0	0	100	0	0	0	0	0	0	0	0	0	0.671	0.005	0	0	0	0	0	0	0.673097	0.020193870933234	0.020193038361477	0.673097	0.020193870933234	0.020193038361477	0.005	0	0
63Mn	25	63	0	0	0	100	0	8748.5685	5.6915	3919.6779	4.6575	0	0	0	0	0.276	0.006	0	0	0	0	0	0	0.666635	0.027202182300369	0.020924770629627	0.673097	0.020193870933234	0.020193038361477	0.006	0	0
64Mn	25	64	0	0	0	100	0	11980.5117	6.1402	4575.2708	5.5714	0	0	0	0	0.09	0.004	2.7	0.6	0	0	0	0	0.663479	0.03041986129319	0.021302395290129	0.673097	0.020193870933234	0.020193038361477	0.004	0.6	0
65Mn	25	65	0	0	0	100	0	10250.5576	6.3257	5930.8897	6.2494	0	0	0	0	0.0919	0.0009	7.9	1.2	0	0	0	0	0.657463	0.037059714809104	0.023098404224797	0.673097	0.020193870933234	0.020193038361477	0.0009	1.2	0
66Mn	25	66	0	0	0	100	0	13317.4543	11.9056	6396.1914	12.2913	2076.5235	13.5541238599	0	0	0.0639	0.0011	5	1.4	0	0	0	0	0.655662	0.03872974517628	0.024002154432875	0.673351	0.020359592635436	0.020200539900728	0.0011	1.4	0
67Mn	25	67	0	0	0	100	0	12128	200	8416	200	1494.85	200.101767011	0	0	0.047	0.004	0	0	0	0	0	0	0.646806	0.047178175149876	0.027317360514376	0.673784	0.020221954573938	0.020326169333901	0.004	0	0
68Mn	25	68	0	0	0	100	0	14977	356	8717	300	5005	404.950614273	0	0	0.0352	0.002	15	9	0	0	0	0	0.644889	0.047990461178123	0.028026610998993	0.66958	0.021614440514619	0.020410978388113	0.002	9	0
69Mn	25	69	0	0	0	100	0	13839	447	10466	444	4206	489.702971198	1080	400	0.0258	0.0028	40	20	0	0	0	0	0.635641	0.052395331249959	0.033037886945035	0.671381	0.021560956343467	0.020244677484339	0.0028	20	0
70Mn	25	70	0	0	0	100	0	16440	583	10678	539	7304	683.099553506	1900	570	0.0199	0.0017	50	20	0	0	0	0	0.634714	0.051209736570465	0.033458718140664	0.66785	0.026077655650959	0.020737496479807	0.0017	20	0
65Fe	26	65	0	0	0	100	0	7967.3036	5.5198	503.2219	20.6481	0	0	0	0	0.805	0.01	0	0	0	0	0	0	0.673544	0.020207617596897	0.020216836348509	0.673097	0.020193870933234	0.020193034820653	0.01	0	0
65Fe	26	65	1	402	5	100	0	0	0	0	0	0	0	0	0	1.12	0.15	0	0	0	0	0	0	0.673097	0.020193870933234	0.020193034820653	0.673097	0.020193870933234	0.020193034820653	0.15	0	0
66Fe	26	66	0	0	0	100	0	6340.6944	14.5611	1046.0407	4.5973	0	0	0	0	0.429	0.028	0	0	0	0	0	0	0.673339	0.020370530406175	0.020200384081222	0.673097	0.020193870933234	0.020193034820653	0.028	0	0
67Fe	26	67	0	0	0	100	0	9613.3678	7.49	2628.8074	14.485	0	0	0	0	0.395	0.009	0	0	0	0	0	0	0.66954	0.022352464728526	0.020416929995472	0.673097	0.020193870933234	0.020193034820653	0.009	0	0
68Fe	26	68	0	0	0	100	0	7746	193	3354	193	0	0	0	0	0.188	0.006	0	0	0	0	0	0	0.668679	0.025229725435226	0.020563508590143	0.673097	0.020193870933234	0.020193034820653	0.006	0	0
69Fe	26	69	0	0	0	100	0	11186	218	4372	200	0	0	0	0	0.162	0.007	0	0	0	0	0	0	0.664123	0.029262331541012	0.021280482894335	0.673097	0.020193870933234	0.020193034820653	0.007	0	0
70Fe	26	70	0	0	0	100	0	9635	300	5424	312	0	0	0	0	0.0614	0.0007	0	0	0	0	0	0	0.660489	0.033966437717384	0.021790631845105	0.673097	0.020193870933234	0.020193034820653	0.0007	0	0
71Fe	26	71	0	0	0	100	0	12440	613	6524	400	2312.8811	774.187288638	0	0	0.035	0.007	0	0	0	0	0	0	0.655096	0.039454995074064	0.024283098263904	0.6732	0.020515927885426	0.020215600807297	0.007	0	0
72Fe	26	72	0	0	0	100	0	11050	583	7049	683	1132	655.659210261	0	0	0.019	0.004	0	0	0	0	0	0	0.653229	0.042498903924653	0.024918270301064	0.674061	0.020240151421096	0.020276649342258	0.004	0	0
73Fe	26	73	0	0	0	100	0	13980	583	8239	583	4238	803.553358527	0	0	0.0129	0.0016	0	0	0	0	0	0	0.647866	0.046139408693224	0.026919977610697	0.671319	0.021551733312773	0.020248345507347	0.0016	0	0
74Fe	26	74	0	0	0	100	0	12881	640	9239	583	3498	812.15762017	570	760	0.00595	0.00485	0	0	0	0	0	0	0.641829	0.049564001651571	0.029149669701678	0.6732	0.020940476880912	0.020201468164468	0.00485	0	0
66Co	27	66	0	0	0	100	0	9597.7522	14.0421	645.9373	13.9808	0	0	0	0	0.209	0.019	0	0	0	0	0	0	0.673933	0.020231273035578	0.020296985998914	0.673097	0.020193861202556	0.020193027887568	0.019	0	0
67Co	27	67	0	0	0	100	0	8420.9047	7.0607	2613.1918	6.5929	0	0	0	0	0.329	0.028	0	0	0	0	0	0	0.669545	0.022261263785385	0.020416181849761	0.673097	0.020193861202556	0.020193027887568	0.028	0	0
67Co	27	67	1	0	0	100	0	0	0	0	0	0	0	0	0	0.496	0.033	0	0	0	0	0	0	0.673097	0.020193861202556	0.020193027887568	0.673097	0.020193861202556	0.020193027887568	0.033	0	0
68Co	27	68	0	0	0	100	0	11821.2318	4.876	4028.7795	4.8196	0	0	0	0	0.199	0.03	0	0	0	0	0	0	0.666034	0.027731463362766	0.021002737946287	0.673097	0.020193861202556	0.020193027887568	0.03	0	0
68Co	27	68	1	0	0	100	0	0	0	0	0	0	0	0	0	1.6	0.3	6	3	0	0	0	0	0.673097	0.020193861202556	0.020193027887568	0.673097	0.020193861202556	0.020193027887568	0.3	3	0
69Co	27	69	0	0	0	100	0	9593.2084	85.7784	5007.0568	85.7493	0	0	0	0	0.203	0.017	0	0	0	0	0	0	0.662694	0.033255815805245	0.021143410625356	0.673097	0.020193861202556	0.020193027887568	0.017	0	0
69Co	27	69	1	0	0	100	0	0	0	0	0	0	0	0	0	0.75	0.25	0	0	0	0	0	0	0.673097	0.020193861202556	0.020193027887568	0.673097	0.020193861202556	0.020193027887568	0.25	0	0
70Co	27	70	0	0	0	100	0	12688.9049	11.1987	5382.3745	11.606	796.2229	11.7852249979	0	0	0.113	0.007	3	1.5	0	0	0	0	0.660755	0.033961349045974	0.021691028145814	0.671938	0.020230623550934	0.020202429984029	0.007	1.5	0
70Co	27	70	1	0	0	100	0	0	0	0	0	0	0	0	0	0.508	0.007	3	1.5	0	0	0	0	0.673097	0.020193861202556	0.020193027887568	0.673097	0.020193861202556	0.020193027887568	0.007	1.5	0
71Co	27	71	0	0	0	100	0	11036.3053	465.0353	6772.62	465.0349	0	0	0	0	0.08	0.003	16	8	0	0	0	0	0.654275	0.04021714313651	0.024558018630633	0.673097	0.020193861202556	0.020193027887568	0.003	8	0
72Co	27	72	0	0	0	100	0	13926	300	7035	300	2771.1639	300.015979063	0	0	0.0515	0.0003	6	3	0.7	0.3	0	0	0.653347	0.042187631317344	0.024877268181376	0.6732	0.020542296658358	0.020208973056541	0.0003	3	0.3
72Co	27	72	1	0	0	100	0	0	0	0	0	0	0	0	0	0.0478	0.0005	6	3	0.7	0.3	0	0	0.673097	0.020193861202556	0.020193027887568	0.673097	0.020193861202556	0.020193027887568	0.0005	3	0.3
73Co	27	73	0	0	0	100	0	12139	300	8185	300	1294.4403	300.01810548	0	0	0.0407	0.0013	18	9	4	2	0	0	0.64811	0.046118914936174	0.026829295255187	0.673931	0.020231140711411	0.020297367550619	0.0013	9	2
74Co	27	74	0	0	0	100	0	15160	447	8497	400	4543	489.702971198	0	0	0.0314	0.0015	18	15	2.5	1.3	0	0	0.646115	0.047858052435327	0.027580822592927	0.670474	0.021429500932322	0.020313027130598	0.0015	15	1.3
75Co	27	75	0	0	0	100	0	13680	447	10069	447	3405	489.702971198	360	500	0.0265	0.0012	8	8	0	0	0	0	0.637439	0.055778544574495	0.031888304358321	0.6732	0.020874283221227	0.02020218839631	0.0012	8	0
76Co	27	76	0	0	0	100	0	16530	583	10509	539	6898	685.718601177	1380	600	0.0225	0.0057	0	0	0	0	0	0	0.635311	0.051911423174952	0.033251422060551	0.668391	0.025498968214281	0.02062033843061	0.0057	0	0
76Co	27	76	1	0	0	100	0	0	0	0	0	0	0	1380	600	0.016	0.004	0	0	0	0	0	0	0.673097	0.020193861202556	0.020193027887568	0.673097	0.020193861202556	0.020193027887568	0.004	0	0
77Co	27	77	0	0	0	100	0	15440	721	12209	671	6188	848.321872876	3230	630	0.01445	0.00575	0	0	0	0	0	0	0.62574	0.050737483794922	0.036677998757293	0.669394	0.024599730862601	0.020439303572099	0.00575	0	0
72Ni	28	72	0	0	0	100	0	5556.9381	2.6374	413.7481	2.6879	0	0	0	0	1.587	0.093	0	0	0	0	0	0	0.672179	0.020215304777245	0.020195896792094	0.673097	0.020193870933234	0.020193041951823	0.093	0	0
73Ni	28	73	0	0	0	100	0	8879.2856	3.1038	1603.5291	2.7971	0	0	0	0	0.842	0.03	0	0	0	0	0	0	0.6732	0.020738175835883	0.020203957656855	0.673097	0.020193870933234	0.020193041951823	0.03	0	0
74Ni	28	74	0	0	0	100	0	7306	200	2216	200	0	0	0	0	0.5077	0.0046	0	0	0	0	0	0	0.670752	0.021469226277479	0.020288811817196	0.673097	0.020193870933234	0.020193041951823	0.0046	0	0
75Ni	28	75	0	0	0	100	0	10230	200	3695	200	0	0	0	0	0.3318	0.0032	10	2.8	0	0	0	0	0.667678	0.026265464407004	0.020777560119408	0.673097	0.020193870933234	0.020193041951823	0.0032	2.8	0
76Ni	28	76	0	0	0	100	0	8791	300	4209	300	0	0	0	0	0.2347	0.0027	14	3.6	0	0	0	0	0.664922	0.02863933727368	0.021159167953292	0.673097	0.020193870933234	0.020193041951823	0.0027	3.6	0
77Ni	28	77	0	0	0	100	0	11513	400	5560	400	977.7553	400.002477016	0	0	0.15865	0.00415	30	24	0	0	0	0	0.6596	0.034706715675788	0.02214292015521	0.673322	0.020199699604588	0.020202744197648	0.00415	24	0
78Ni	28	78	0	0	0	100	0	9910	400	5912	400	0	0	0	0	0.1222	0.0051	0	0	0	0	0	0	0.65748	0.03705067410129	0.023089997214378	0.673097	0.020193870933234	0.020193041951823	0.0051	0	0
79Ni	28	79	0	0	0	100	0	14248	511	8558	500	4560.153	521.673407588	0	0	0.04355	0.00805	0	0	0	0	0	0	0.645586	0.048126109380007	0.027777525070755	0.67039	0.021417148407059	0.020320993034052	0.00805	0	0
80Ni	28	80	0	0	0	100	0	13440	671	11097	609	5407	735.010884273	1780	720	0.0285	0.0215	0	0	0	0	0	0	0.634229	0.050791460217215	0.0334668911911	0.669517	0.022826813793434	0.020420386895456	0.0215	0	0
73Cu	29	73	0	0	0	100	0	6605.9659	2.691	1086.7318	2.8915	0	0	0	0	4.2	0.15	0.029	0.006	0	0	0	0	0.673276	0.020430257339505	0.020203517390752	0.673097	0.020193880713427	0.020193049281079	0.15	0.006	0
74Cu	29	74	0	0	0	100	0	9750.5077	6.6424	1515.88	6.4239	0	0	0	0	1.598	0.014	0.075	0.016	0	0	0	0	0.6732	0.020634226808873	0.020205637629137	0.673097	0.020193880713427	0.020193049281079	0.014	0.016	0
75Cu	29	75	0	0	0	100	0	8088.6967	2.0837	3215.1829	2.6155	0	0	0	0	1.224	0.003	2.7	0.6	0	0	0	0	0.669046	0.024902367259046	0.020496731717628	0.673097	0.020193880713427	0.020193049281079	0.003	0.6	0
76Cu	29	76	0	0	0	100	0	11321.3964	1.7183	3505.9706	2.1587	0	0	0	0	0.637	0.008	7.2	0.5	0	0	0	0	0.668229	0.025670960671484	0.020654002948506	0.673097	0.020193880713427	0.020193049281079	0.008	0.5	0
77Cu	29	77	0	0	0	100	0	9926.375	2.3148	5368.8778	1.8936	0	0	0	0	0.4698	0.002	30.1	2	0	0	0	0	0.66083	0.033959414659414	0.021663550401769	0.673097	0.020193880713427	0.020193049281079	0.002	2	0
78Cu	29	78	0	0	0	100	0	12693.768	13.4727	5928.4108	13.4769	1370.9137	13.6895039421	0	0	0.3317	0.002	51	10	0	0	0	0	0.657376	0.037104902436719	0.023140006694865	0.673871	0.020227262621939	0.020308428500918	0.002	10	0
79Cu	29	79	0	0	0	100	0	11024.2629	105.003	7003.8851	104.9974	238.528	105.045071061	0	0	0.2413	0.0021	66	12	0	0	0	0	0.653383	0.042095182850536	0.024864577499328	0.673134	0.020195518308783	0.020194358934128	0.0021	12	0
80Cu	29	80	0	0	0	100	0	14969	300	8682	300	4660.9867	300.017425364	0	0	0.1133	0.0064	58	9	0	0	0	0	0.644904	0.047993388016417	0.028021857420492	0.670141	0.021382072511637	0.020345962569829	0.0064	9	0
81Cu	29	81	0	0	0	100	0	14289	300	11667	300	5378.9965	300.050416097	1850	500	0.0732	0.0068	80	20	0	0	0	0	0.629155	0.047465166318286	0.035172367756841	0.669519	0.022774335275149	0.020420085289364	0.0068	20	0
82Cu	29	82	0	0	0	100	0	16584	400	12399	400	9776.0228	400.020162824	3900	600	0.03275	0.00695	0	0	0	0	0	0	0.625266	0.051451238213287	0.036828087958519	0.662906	0.032526851205618	0.021185696527431	0.00695	0	0
78Zn	30	78	0	0	0	100	0	6220.8433	2.2088	437.7923	3.1053	0	0	0	0	1.47	0.15	0	0	0	0	0	0	0.672575	0.020199227251618	0.02018781381335	0.673097	0.020193870933234	0.020193041951823	0.15	0	0
79Zn	30	79	0	0	0	100	0	9116.0536	2.5295	2200.4655	2.4599	0	0	0	0	0.746	0.042	1.75	0.45	0	0	0	0	0.670833	0.0214809297634	0.020282274613566	0.673097	0.020193870933234	0.020193041951823	0.042	0.45	0
80Zn	30	80	0	0	0	100	0	7575.0553	3.8774	2828.4181	2.8527	0	0	0	0	0.5619	0.003	1.36	0.12	0	0	0	0	0.669476	0.023506077344347	0.020426612032307	0.673097	0.020193870933234	0.020193041951823	0.003	0.12	0
81Zn	30	81	0	0	0	100	0	11428.2924	5.996	4952.6873	5.8018	206.05	6.93140150042	0	0	0.3035	0.0031	9.8	3	0	0	0	0	0.662761	0.033027402453249	0.021156555220756	0.673103	0.020193755959407	0.020193347611233	0.0031	3	0
82Zn	30	82	0	0	0	100	0	10616.7652	3.9162	7242.6833	4.4833	767.0782	5.43511507514	0	0	0.1779	0.0025	69	7	0	0	0	0	0.652361	0.044482584264956	0.025233914240341	0.671713	0.020248723612418	0.020210836695498	0.0025	7	0
83Zn	30	83	0	0	0	100	0	12967	300	8569	300	5195.1969	300.029051027	0	0	0.0997	0.003	71	29	0	0	0	0	0.645787	0.048165155179155	0.027706569860452	0.669546	0.022238922782014	0.020416032364404	0.003	29	0
84Zn	30	84	0	0	0	100	0	12264	401	9356	400	4957.9529	402.113656521	1480	400	0.0536	0.0081	73	26	0	0	0	0	0.641214	0.047819747536101	0.029517154307562	0.669582	0.021590216424381	0.020410682821787	0.0081	26	0
