#nucid	Z	A	liso	energy_[keV]	D_energy_[keV]	beta-_%	D_beta-	Qb	D_Qb	Qb1n	D_Qb1n	Qb2n	D_Qb2n	Qb3n	D_Qb3n	T12	D_T12	P1n	D_P1n	P2n	D_P2n	P3n	D_P3n	Neueff_1n	lowerEff	upperEff	Neueff_2n	lowerEff	upperEff	D_T12_Hi	D_P1n_Hi	D_P2n_Hi	b_br	D_b_br	D_b_br_Hi	a_br	D_a_br	D_a_br_Hi
211Fr	87	211	0	0	0	100	0	-4972.18	12.9786	-12654.5	15.1062	-22141.2	15.0377	0	0	186	1.2	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	1.2	0	0	0	0	0	87	3	3
230Fr	87	230	0	0	0	100	0	4970.46	12.1984	-1146.51	16.7693	-5596.06	16.087	0	0	19.1	0.5	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.5	0	0	100	0	0	0	0	0
229Fr	87	229	0	0	0	100	0	3106.29	16.2305	-1343.26	5.3522	-7651.85	22.4864	0	0	50.2	0.4	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.4	0	0	100	0	0	0	0	0
228Fr	87	228	0	0	0	100	0	4444.03	7.021	-1864.56	7.0073	-6425.99	7.39407	0	0	38	1	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	1	0	0	100	0	0	0	0	0
227Fr	87	227	0	0	0	100	0	2504.98	6.2112	-2056.45	6.2053	-8453.23	6.83966	0	0	148.2	1.8	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	1.8	0	0	100	0	0	0	0	0
233Fr	87	233	0	0	0	100	0	4585.99	21.3694	351.779	21.596	-5439.07	25.6891	0	0	0.9	0.1	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.1	0	0	100	0	0	0	0	0
232Fr	87	232	0	0	0	100	0	5575.88	16.7023	-214.972	18.0139	-4586.11	21.6499	0	0	5.5	0.6	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.6	0	0	100	0	0	0	0	0
231Fr	87	231	0	0	0	100	0	3864.09	13.7495	-507.049	12.8758	-6624.02	23.5954	0	0	17.6	0.5	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.5	0	0	100	0	0	0	0	0
202Pt	78	202	0	0	0	100	0	1660.85	34.2759	-4362.74	25.3554	-11594.7	49.3042	0	0	158400	54000	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	54000	0	0	100	0	0	0	0	0
203Pt	78	203	0	0	0	100	0	3633	200	-3228	202	-9252.37	200.048	0	0	22	4	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	4	0	0	100	0	0	0	0	0
204Pt	78	204	0	0	0	100	0	2770	283	-2548	200	-9410	347.117	0	0	10.7	1.3	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	1.3	0	0	100	0	0	0	0	0
218Bi	83	218	0	0	0	100	0	4859.39	27.0849	-738.732	27.7947	-4708.93	27.1554	0	0	33	1	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	1	0	0	100	0	0	0	0	0
219Bi	83	219	0	0	0	100	0	3638	201	-108	200	-5706.73	201.729	0	0	8.7	2.9	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	2.9	0	0	100	0	0	0	0	0
216Bi	83	216	0	0	0	100	0	4091.65	11.3243	-1655.56	11.3773	-5798.68	11.515	0	0	135	3	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	3	0	0	100	0	0	0	0	0
217Bi	83	217	0	0	0	100	0	2846.51	18.8695	-1123.69	17.7912	-6870.9	20.0271	0	0	98.5	1.3	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	1.3	0	0	100	0	0	0	0	0
220Bi	83	220	0	0	0	100	0	5696	300	207	300	-3539.83	300.528	0	0	9.5	5.7	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	5.7	0	0	100	0	0	0	0	0
214Bi	83	214	0	0	0	100	0	3269.19	11.1649	-2618.58	11.5056	-6974.01	11.2033	0	0	1182.6	1.2	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	1.2	0	0	99.979	0.0013	0.0013	0.021	0.0013	0.0013
215Bi	83	215	0	0	0	100	0	2171.04	5.5297	-1972.07	5.7717	-7859.85	6.60032	0	0	456	12	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	12	0	0	100	0	0	0	0	0
213Bi	83	213	0	0	0	100	0	1421.85	5.4898	-2933.58	5.1189	-8941.81	6.2108	0	0	2736.42	2.28	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	2.28	0	0	97.872	0.022	0.022	2.128	0.022	0.022
211Bi	83	211	0	0	0	100	0	573.376	5.4297	-3977.37	5.4063	-11635.7	5.62192	0	0	128.4	1.8	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	1.8	0	0	0.276	0.004	0.004	99.724	0.004	0.004
212Bi	83	212	0	0	0	100	0	2251.47	1.6671	-3756.77	1.7456	-8307.52	1.67602	0	0	3633.06	3.54	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	3.54	0	0	64.06	0.06	0.06	35.94	0.06	0.06
210Bi	83	210	0	0	0	100	0	1161.15	0.7662	-6497.21	1.5621	-13465.3	1.49103	0	0	433037	432	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	432	0	0	99.9999	1e-05	1e-05	0.000132	1e-05	1e-05
214Rn	86	214	0	0	0	100	0	-3361.34	12.4238	-8836.78	10.2726	-16946.3	17.4315	0	0	2.59e-07	3e-09	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	3e-09	0	0	0	0	0	100	0	0
213Rn	86	213	0	0	0	100	0	-2141.75	5.6996	-10251.3	9.3965	-17698.3	14.0842	0	0	0.01938	0.00019	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.00019	0	0	0	0	0	100	0	0
215Rn	86	215	0	0	0	100	0	-1487.13	9.189	-8281.98	10.3464	-13757.4	12.4702	0	0	0.0023	0.0001	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.0001	0	0	0	0	0	100	0	0
210Rn	86	210	0	0	0	100	0	-6261.26	14.172	-13893.9	12.3713	-23082.5	22.7342	0	0	8712	144	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	144	0	0	0	0	0	96	1	1
212Rn	86	212	0	0	0	100	0	-5143.22	9.3064	-12590.2	12.3821	-21458.3	18.5323	0	0	1434	72	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	72	0	0	0	0	0	100	0	0
211Rn	86	211	0	0	0	100	0	-4615.02	13.7862	-13483.1	15.0444	-21115.8	21.5664	0	0	52920	720	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	720	0	0	0	0	0	27.4	1.7	1.7
226Rn	86	226	0	0	0	100	0	1226.65	12.1895	-3144.73	15.9052	-9144.06	17.6733	0	0	444	6	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	6	0	0	100	0	0	0	0	0
225Rn	86	225	0	0	0	100	0	2713.54	16.3492	-3285.79	15.7809	-7990.82	20.3437	0	0	279.6	2.4	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	2.4	0	0	100	0	0	0	0	0
224Rn	86	224	0	0	0	100	0	696.484	14.875	-4008.55	10.0025	-10075.6	20.0435	0	0	6840	360	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	360	0	0	100	0	0	0	0	0
221Rn	86	221	0	0	0	100	0	1194.1	7.2312	-5082.3	6.908	-10288.2	11.0026	0	0	1542	30	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	30	0	0	80	2	2	20	2	2
220Rn	86	220	0	0	0	100	0	-870.338	4.0256	-6076.26	6.991	-12590.1	6.95887	0	0	55.6	0.1	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.1	0	0	0	0	0	100	0	0
223Rn	86	223	0	0	0	100	0	2007.41	8.0568	-4059.68	10.8035	-9030.15	9.39387	0	0	1458	60	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	60	0	0	100	0	0	0	0	0
222Rn	86	222	0	0	0	100	0	-6.1461	7.7013	-4976.61	5.061	-11253	11.4485	0	0	330174	13.824	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	13.824	0	0	0	0	0	100	0	0
217Rn	86	217	0	0	0	100	0	-656.097	7.5383	-7383.77	5.621	-12802.2	12.0707	0	0	0.00059	6e-05	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	6e-05	0	0	0	0	0	100	0	0
216Rn	86	216	0	0	0	100	0	-2717.71	6.9366	-8136.14	8.9789	-14931	11.6416	0	0	0.029	0.004	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.004	0	0	0	0	0	100	0	0
219Rn	86	219	0	0	0	100	0	212.398	6.8938	-6301.42	4.6672	-11628	11.6493	0	0	3.96	0.01	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.01	0	0	0	0	0	100	0	0
218Rn	86	218	0	0	0	100	0	-1842.03	4.4418	-7168.57	6.667	-13896.2	7.16699	0	0	0.03375	0.00015	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.00015	0	0	0	0	0	100	0	0
228Rn	86	228	0	0	0	100	0	1859.25	18.9157	-2510.3	18.6354	-8419.71	21.0222	0	0	65	2	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	2	0	0	100	0	0	0	0	0
227Rn	86	227	0	0	0	100	0	3203.39	15.2755	-2706.02	15.4067	-7077.4	20.2815	0	0	20.8	0.7	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.7	0	0	100	0	0	0	0	0
229Rn	86	229	0	0	0	100	0	3694.15	13.967	-2093.14	14.6758	-6462.68	15.9649	0	0	12	1.3	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	1.2	0	0	100	0	0	0	0	0
222U	92	222	0	0	0	100	0	-7001.81	64.43	-13709	207	-22344.8	80.8871	0	0	0.0047	0.0007	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.0007	0	0	0	0	0	100	0	0
224U	92	224	0	0	0	100	0	-6289.56	32.7036	-12987.2	84.2557	-21674.6	57.9123	0	0	0.396	0.017	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.017	0	0	0	0	0	100	0	0
223U	92	223	0	0	0	100	0	-4613.3	101.752	-13300.7	70.25	-20007.3	239.672	0	0	0.062	0.01	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.014	0	0	0	0	0	100	0	0
226U	92	226	0	0	0	100	0	-5488.08	102.648	-12360.6	92.2786	-20846.1	147.615	0	0	0.267	0.006	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.006	0	0	0	0	0	100	0	0
225U	92	225	0	0	0	100	0	-4246.1	92.1491	-12731.6	30.5827	-19429.2	154.115	0	0	0.061	0.003	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.003	0	0	0	0	0	100	0	0
219U	92	219	0	0	0	100	0	-6141	92.9309	999999	999999	-1.00614e+06	999999	0	0	0.06	0.007	-9999	-8999.1	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.007	-89991	0	0	0	0	100	0	0
221U	92	221	0	0	0	100	0	-5390	213	-14026.3	78.4032	-21059	306.217	0	0	0.00066	0.00014	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.00014	0	0	0	0	0	100	0	0
232U	92	232	0	0	0	100	0	-2750	100	-9085.56	51.1699	-16770	151.644	0	0	2.17427e+09	8.83594e+06	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	8.83594e+06	0	0	0	0	0	100	0	0
237U	92	237	0	0	0	100	0	518.534	0.52	-6059.28	50.4173	-11795.5	1.05018	0	0	583373	432	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	432	0	0	100	0	0	0	0	0
228U	92	228	0	0	0	100	0	-4605	101	-11430.3	78.1432	-19739	175.071	0	0	546	12	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	12	0	0	0	0	0	95	0	0
227U	92	227	0	0	0	100	0	-3533.98	77.4417	-11843.2	102.404	-18715.7	142.539	0	0	66	6	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	6	0	0	0	0	0	100	0	0
230U	92	230	0	0	0	100	0	-3621.6	55.1683	-10257.7	101.265	-18352.6	126.647	0	0	1.74787e+06	1728	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	1728	0	0	0	0	0	100	0	0
229U	92	229	0	0	0	100	0	-2590.76	101.334	-10686	100	-17511	162.57	0	0	3468	30	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	30	0	0	0	0	0	20	0	0
231U	92	231	0	0	0	100	0	-1817.73	51.1839	-9501.98	55.0663	-16138.1	124.385	0	0	362880	8640	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	8640	0	0	0	0	0	0.004	0.001	0.001
242U	92	242	0	0	0	100	0	1203	283	-3767	224	-9838.99	346.957	0	0	1008	30	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	30	0	0	100	0	0	0	0	0
239U	92	239	0	0	0	100	0	1261.66	1.4935	-4953.25	1.2128	-10441.6	1.78282	0	0	1407	1.2	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	1.2	0	0	100	0	0	0	0	0
240U	92	240	0	0	0	100	0	399.269	17.083	-4666.83	2.7866	-10881.7	24.1127	0	0	50760	360	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	360	0	0	100	0	0	0	0	0
201Ir	77	201	0	0	0	100	0	3901	206	-1312	201	-8593.64	212.016	0	0	21	5	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	5	0	0	100	0	0	0	0	0
202Ir	77	202	0	0	0	100	0	6052	301	-971	304	-6183.59	302.718	0	0	11	3	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	3	0	0	100	0	0	0	0	0
216Pb	82	216	0	0	0	100	0	1636	201	-2191	200	-7431.87	201.622	0	0	99.4	11.7	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	11.7	0	0	100	0	0	0	0	0
217Pb	82	217	0	0	0	100	0	3530	300	-1685	300	-5511.95	300.574	0	0	19.9	5.3	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	5.3	0	0	100	0	0	0	0	0
218Pb	82	218	0	0	0	100	0	2414	301	-1172	300	-6386.59	302.416	0	0	15	7	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	7	0	0	100	0	0	0	0	0
209Pb	82	209	0	0	0	100	0	644.015	1.1462	-6815.74	2.1822	-13702.7	2.28558	0	0	11646	18	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	18	0	0	100	0	0	0	0	0
210Pb	82	210	0	0	0	100	0	63.4758	0.4992	-4541.16	0.5053	-12000.9	1.92447	0	0	7.00564e+08	5.36468e+06	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	5.36468e+06	0	0	100	0	0	1.9e-06	4e-07	4e-07
211Pb	82	211	0	0	0	100	0	1366.1	5.4713	-3772.43	2.5286	-8377.06	7.72579	0	0	2169.9	0.06	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.06	0	0	100	0	0	0	0	0
212Pb	82	212	0	0	0	100	0	569.013	1.8246	-3761.13	5.5972	-8899.66	2.58533	0	0	38260.8	21.6	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	21.6	0	0	100	0	0	0	0	0
213Pb	82	213	0	0	0	100	0	2028.07	8.3708	-3156.97	7.1159	-7487.12	11.0982	0	0	612	18	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	18	0	0	100	0	0	0	0	0
214Pb	82	214	0	0	0	100	0	1017.76	11.2559	-3022.67	5.2644	-8207.71	15.9343	0	0	1623.6	4.2	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	4.2	0	0	100	0	0	0	0	0
215Pb	82	215	0	0	0	100	0	2712.97	52.9848	-2528.29	53.8646	-6568.72	53.495	0	0	142	12	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	12	0	0	100	0	0	0	0	0
200Os	76	200	0	0	0	100	0	3020	358	-2223	303	-8982	454.493	0	0	6	3	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	4	0	0	100	0	0	0	0	0
213At	85	213	0	0	0	100	0	-883.573	5.7243	-5991.62	5.5868	-13966.8	9.37834	0	0	1.24e-07	6e-09	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	6e-09	0	0	0	0	0	100	0	0
214At	85	214	0	0	0	100	0	940.513	9.8827	-5754.52	4.9633	-10862.6	13.7573	0	0	5.58e-07	1e-08	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	1e-08	0	0	0	0	0	100	0	0
211At	85	211	0	0	0	100	0	-2891.86	6.8937	-10113.7	5.2769	-18848.8	13.8927	0	0	25977.6	21.6	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	21.6	0	0	0	0	0	41.78	0.08	0.08
212At	85	212	0	0	0	100	0	31.0705	3.5927	-7944.14	7.0039	-15166	6.55663	0	0	0.314	0.002	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.002	0	0	0	0	0	100	0	0
209At	85	209	0	0	0	100	0	-3942.72	11.0298	-11299.7	11.1763	-20391.7	15.5991	0	0	19512	180	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	180	0	0	0	0	0	4.1	0.5	0.5
210At	85	210	0	0	0	100	0	-2367.34	8.9225	-11102.4	12.5809	-18459.3	14.2603	0	0	29160	1440	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	1440	0	0	0	0	0	0.175	0.02	0.02
215At	85	215	0	0	0	100	0	-87.5935	8.9062	-5008.24	11.2531	-11703.3	11.1874	0	0	0.037	0.003	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.003	0	0	0	0	0	100	0	0
215Pa	91	215	0	0	0	100	0	-7084.77	132.825	999999	999999	-1.00708e+06	999999	0	0	0.014	0.002	-9999	-8999.1	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.002	-89991	0	0	0	0	100	0	0
224At	85	224	0	0	0	100	0	5265.92	24.4153	-750.038	23.6848	-4803.57	26.3857	0	0	76.2	22.8	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	138	0	0	100	0	0	0	0	0
222At	85	222	0	0	0	100	0	4581.07	15.9542	-1589.64	16.8349	-5801.6	16.0705	0	0	54	10	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	10	0	0	100	0	0	0	0	0
219Pa	91	219	0	0	0	100	0	-4712.73	70.9693	-11382.7	71.0403	-20529.7	108.446	0	0	5.5e-08	8e-09	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	8e-09	0	0	0	0	0	100	0	0
223At	85	223	0	0	0	100	0	3038.27	16.0129	-1015.27	14.107	-7185.98	18.7149	0	0	50	7	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	7	0	0	100	0	0	0	0	0
218Pa	91	218	0	0	0	100	0	-3245.09	22.5042	-12392	82	-20559.5	38.4989	0	0	0.109	0.004	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.004	0	0	0	0	0	100	0	0
220At	85	220	0	0	0	100	0	3763.76	14.0896	-2524.91	14.1293	-6984.3	14.3537	0	0	222.6	2.4	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	2.4	0	0	92	2	2	8	2	2
217Pa	91	217	0	0	0	100	0	-5916	81	-14083	30.7428	-23977	154.871	0	0	0.0037	0.0004	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.0004	0	0	0	0	0	100	0	0
221At	85	221	0	0	0	100	0	2311.38	15.0957	-1900.58	14.0896	-8189.24	16.2064	0	0	138	12	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	12	0	0	100	0	0	0	0	0
216Pa	91	216	0	0	0	100	0	-5242.63	37.3721	-15136.8	107.013	-1.00524e+06	999999	0	0	0.118	0.015	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.015	0	0	0	0	0	100	0	0
218At	85	218	0	0	0	100	0	2882.8	11.6054	-3629.67	12.1395	-8295.73	13.0707	0	0	1.28	0.05	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.05	0	0	0.05	0.05	0.05	99.95	0.05	0.05
219At	85	219	0	0	0	100	0	1566.68	2.9473	-2892.71	3.9123	-9405.18	5.46733	0	0	56	3	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	3	0	0	6.4	1	1	93.6	1	1
216At	85	216	0	0	0	100	0	2003.37	6.6383	-4645.65	6.9215	-9566.29	12.6145	0	0	0.0003	3e-05	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	3e-05	0	0	0	0	0	100	0	0
217At	85	217	0	0	0	100	0	736.032	6.1505	-3930.03	7.5731	-10579	9.49127	0	0	0.0326	0.0002	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.0002	0	0	0.007	0.003	0.003	99.993	0.003	0.003
220Pa	91	220	0	0	0	100	0	-2735	102	-11088.9	19.8161	-17759	144.25	0	0	0.00089	6e-05	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	6e-05	0	0	0	0	0	100	0	0
222Pa	91	222	0	0	0	100	0	-2208.47	101.013	-10527	112.712	-17091.5	151.567	0	0	0.00389	0.00073	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.00073	0	0	0	0	0	100	0	0
221Pa	91	221	0	0	0	100	0	-4145.06	93.4311	-10710	117	-19063.7	118.789	0	0	0.0059	0.0014	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.0015	0	0	0	0	0	100	0	0
226Pa	91	226	0	0	0	100	0	-1295.2	15.6747	-9409.72	14.8938	-15851.7	24.468	0	0	108	12	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	12	0	0	0	0	0	74	5	5
225Pa	91	225	0	0	0	100	0	-3015.36	82.4514	-9457.37	83.2622	-17831.3	101.891	0	0	1.7	0.1	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.1	0	0	0	0	0	100	0	0
224Pa	91	224	0	0	0	100	0	-1880.34	16.9711	-10254.2	59.5136	-16553.1	56.7796	0	0	0.85	0.02	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.02	0	0	0	0	0	100	0	0
223Pa	91	223	0	0	0	100	0	-3707.66	95.9225	-10006.5	91.7775	-18325	133.76	0	0	0.0053	0.0006	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.0006	0	0	0	0	0	100	0	0
230Pa	91	230	0	0	0	100	0	558.526	4.5919	-7108.39	6.5947	-13189.1	14.8719	0	0	1.50336e+06	34560	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	34560	0	0	7.8	0.7	0.7	0.0035	0.0004	0.0004
229Pa	91	229	0	0	0	100	0	-1313.77	6.6554	-7394.47	13.846	-15290.8	12.2278	0	0	133920	4320	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	4320	0	0	0	0	0	0.51	0.04	0.04
228Pa	91	228	0	0	0	100	0	-296.402	14.0858	-8192.75	9.4496	-14547.8	22.3588	0	0	71280	3240	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	3240	0	0	0	0	0	1.85	0.17	0.17
227Pa	91	227	0	0	0	100	0	-2214.66	11.1118	-8569.74	13.1763	-16684.3	17.0869	0	0	2298	18	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	18	0	0	0	0	0	85	2	2
233Pa	91	233	0	0	0	100	0	570.299	1.975	-5191.35	1.8061	-12459.2	3.72447	0	0	2.33064e+06	1123.2	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	1123.2	0	0	100	0	0	0	0	0
232Pa	91	232	0	0	0	100	0	1337.1	7.4278	-5930.72	7.9386	-11811.1	8.76602	0	0	113184	1728	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	1728	0	0	100	0	0	0	0	0
237Pa	91	237	0	0	0	100	0	2137.49	13.0962	-2988.28	13.0883	-9533.79	13.1068	0	0	522	12	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	12	0	0	100	0	0	0	0	0
236Pa	91	236	0	0	0	100	0	2889.37	14.0166	-3656.15	14.0169	-8953.64	14.0206	0	0	546	6	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	6	0	0	100	0	0	0	0	0
235Pa	91	235	0	0	0	100	0	1370.12	14.0169	-3927.38	14.018	-10772.8	14.1583	0	0	1464	12	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	12	0	0	100	0	0	0	0	0
234Pa	91	234	0	0	0	100	0	2193.91	3.9998	-4651.56	4.4539	-10413.2	4.29847	0	0	24015.6	79.2	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	79.2	0	0	100	0	0	0	0	0
239Pa	91	239	0	0	0	100	0	2765	196	-2042	196	-8195.1	196.004	0	0	6480	1800	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	1800	0	0	100	0	0	0	0	0
238Pa	91	238	0	0	0	100	0	3586.31	15.9056	-2567.41	15.881	-7693.17	15.949	0	0	138	6	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	6	0	0	100	0	0	0	0	0
234Ac	89	234	0	0	0	100	0	4228.24	14.2103	-1961.77	14.0448	-6748.15	14.4413	0	0	44	7	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	7	0	0	100	0	0	0	0	0
233Ac	89	233	0	0	0	100	0	2576.39	13.1184	-2209.99	13.1181	-8650.41	13.1624	0	0	143	9	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	9	0	0	100	0	0	0	0	0
232Ac	89	232	0	0	0	100	0	3707.71	13.1181	-2732.71	13.0976	-7850.72	13.1611	0	0	119	5	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	5	0	0	100	0	0	0	0	0
231Ac	89	231	0	0	0	100	0	1947.04	13.0976	-3170.98	13.0968	-9965.3	13.2833	0	0	450	6	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	6	0	0	100	0	0	0	0	0
230Ac	89	230	0	0	0	100	0	2975.87	15.8815	-3818.45	16.0169	-9075.15	15.9226	0	0	122	3	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	3	0	0	100	0	0	0	0	0
229Ac	89	229	0	0	0	100	0	1104.42	12.3458	-4152.28	12.2433	-11257.5	12.6602	0	0	3762	30	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	30	0	0	100	0	0	0	0	0
