#nucid	Z	A	liso	energy_[keV]	D_energy_[keV]	beta-_%	D_beta-	Qb	D_Qb	Qb1n	D_Qb1n	Qb2n	D_Qb2n	Qb3n	D_Qb3n	T12	D_T12	P1n	D_P1n	P2n	D_P2n	P3n	D_P3n	Neueff_1n	lowerEff	upperEff	Neueff_2n	lowerEff	upperEff	D_T12_Hi	D_P1n_Hi	D_P2n_Hi	b_br	D_b_br	D_b_br_Hi	a_br	D_a_br	D_a_br_Hi
213Tl	81	213	0	0	0	100	0	4987.41	27.8941	1261.42	27.0759	-3865.81	28.797	0	0	23.8	4.4	7.6	3.4	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	4.4	3.4	0	100	0	0	0	0	0
211Tl	81	211	0	0	0	100	0	4415.01	41.9781	579.112	41.9422	-4606.06	42.0679	0	0	79.6	15.2	2.2	2.2	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	15.4	2.2	0	100	0	0	0	0	0
209Tl	81	209	0	0	0	100	0	3969.78	6.2115	32.4083	6.14	-7335.46	6.35515	0	0	129.72	0.42	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.42	0	0	100	0	0	0	0	0
210Tl	81	210	0	0	0	100	0	5481.43	11.561	296.26	11.6204	-3641.11	11.5974	0	0	78	1.8	0.007	0.004	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	1.8	0.007	0	100	0	0	0	0	0
207Tl	81	207	0	0	0	100	0	1417.53	5.4024	-5320.25	5.4025	-13406.9	5.40357	0	0	286.2	0.6	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.6	0	0	100	0	0	0	0	0
208Tl	81	208	0	0	0	100	0	4998.4	1.6693	-2369.47	1.6698	-9107.25	1.67282	0	0	183.18	0.18	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.18	0	0	100	0	0	0	0	0
206Tl	81	206	0	0	0	100	0	1532.21	0.6117	-6554.45	0.6105	-13286.1	0.624122	0	0	252.12	0.78	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.78	0	0	100	0	0	0	0	0
216Tl	81	216	0	0	0	100	0	7361	361	2457	305	-1089	412.7	0	0	5.9	3.3	0.28	0.252	0	0	0	0	0.665558	0.0219128	0.0201002	0.668	0.02	0.02	3.3	2.52	0	100	0	0	0	0	0
208Po	84	208	0	0	0	100	0	-4999.31	9.0736	-12313	12.5132	-21172.5	18.566	0	0	9.1452e+07	63113.9	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	63113.9	0	0	0	0	0	99.996	0.0004	0.0004
209Po	84	209	0	0	0	100	0	-3482.24	4.9599	-11967.4	9.0936	-19281.2	14.1766	0	0	3.91306e+09	9.15151e+07	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	9.15151e+07	0	0	0	0	0	99.545	0.007	0.007
210Po	84	210	0	0	0	100	0	-3980.96	7.6101	-11140.6	4.7701	-19625.8	14.0236	0	0	1.19559e+07	345.6	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	345.6	0	0	0	0	0	100	0	0
211Po	84	211	0	0	0	100	0	-785.301	2.5385	-8531.71	7.6274	-15691.4	5.94529	0	0	0.516	0.003	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.003	0	0	0	0	0	100	0	0
212Po	84	212	0	0	0	100	0	-1741.26	2.1066	-6793.54	2.4899	-14539.9	8.17064	0	0	2.95e-07	4e-10	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	4e-10	0	0	0	0	0	100	0	0
213Po	84	213	0	0	0	100	0	-73.9972	5.4646	-6096.69	3.3996	-11149	7.5894	0	0	0.003706	1e-06	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	1e-06	0	0	0	0	0	100	0	0
214Po	84	214	0	0	0	100	0	-1090.82	3.775	-5961.77	4.7314	-11984.5	5.66363	0	0	0.16348	4e-05	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	4e-05	0	0	0	0	0	100	0	0
215Po	84	215	0	0	0	100	0	714.813	6.6491	-5233.94	4.4488	-10104.9	10.5077	0	0	0.001781	3e-06	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	3e-06	0	0	0.00023	2e-05	2e-05	99.9998	2e-05	2e-05
216Po	84	216	0	0	0	100	0	-474.342	3.5713	-5032.4	6.7496	-10981.1	6.28092	0	0	0.144	0.0006	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.0006	0	0	0	0	0	100	0	0
217Po	84	217	0	0	0	100	0	1488.85	7.9791	-4444.54	7.3786	-9002.6	11.4132	0	0	1.53	0.05	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.05	0	0	2.5	2.5	2.5	97.5	2.5	2.5
218Po	84	218	0	0	0	100	0	256.433	11.549	-4109.26	5.1835	-10042.7	16.6317	0	0	185.82	0.6	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.6	0	0	0.022	0.003	0.003	99.978	0.003	0.003
219Po	84	219	0	0	0	100	0	2285.34	16.1628	-3490.18	19.5726	-7855.87	17.1228	0	0	619.8	58.8	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	58.8	0	0	71.8	2	2	28.2	2	2
221Po	84	221	0	0	0	100	0	2991.03	24.039	-2673.31	24.039	-6764.9	27.9925	0	0	112.2	28.2	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	58.2	0	0	100	0	0	0	0	0
222Po	84	222	0	0	0	100	0	1533.24	43.0709	-2367.78	42.4214	-8032.12	47.9697	0	0	145.2	66	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	694.2	0	0	100	0	0	0	0	0
204Au	79	204	0	0	0	100	0	4300	200	-3192	200	-9187.47	200.001	0	0	38.4	0.8	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.8	0	0	100	0	0	0	0	0
205Au	79	205	0	0	0	100	0	3717	200	-1951	200	-9444.15	200.034	0	0	32	1.1	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	1.1	0	0	100	0	0	0	0	0
203Au	79	203	0	0	0	100	0	2125.76	3.4514	-3869.45	3.1299	-11623.6	3.79628	0	0	60	6	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	6	0	0	100	0	0	0	0	0
206Au	79	206	0	0	0	100	0	6755	301	26	300	-5643.22	301.693	0	0	47	11.2	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	11.2	0	0	100	0	0	0	0	0
225Ra	88	225	0	0	0	100	0	355.739	5.0067	-6312.42	4.7218	-11974.6	9.67397	0	0	1.27872e+06	17280	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	17280	0	0	100	0	0	0	0	0
