#nucid	Z	A	liso	energy_[keV]	D_energy_[keV]	beta-_%	D_beta-	QB-	QB-_unc	QB-n	QB-n_unc	QB-2n	QB-2n_unc	QB-3n	QB-3n_unc	T1/2_[s]	D_T1/2_[s]	pn1_%	D_pn1	pn2_%	D_pn2	pn3_%	D_pn3	Neueff_unity	lowerEff	upperEff
31Mg	12	31	0	0	0	100	0	11828.6	3.8	4671.4	4.2	0	0	0	0	0.236	0.02	6.2	1.9	0	0	0	0	0.663384	0.030778790413374	0.021282675168089
32Mg	12	32	0	0	0	100	0	10270.5	7.9	6050.5	4	0	0	0	0	0.086	0.005	5.4	0.5	0	0	0	0	0.657201	0.037194493677975	0.023223874955763
33Mg	12	33	0	0	0	100	0	13459.7	7.6	7990.4	7.7	3770.4	3.7	0	0	0.0894	0.001	14	2	0	0	0	0	0.649835	0.047853127154895	0.02620280592804
34Mg	12	34	0	0	0	100	0	11324	29	8749	30	3280	30	0	0	0.02	0.01	58	12	0	0	0	0	0.645119	0.048034425579421	0.0279446888647
35Mg	12	35	0	0	0	100	0	15860	270	10570	270	7990	270	2530	270	0.0113	0.0006	52	46	0	0	0	0	0.635646	0.052401905829697	0.033034707181757
36Mg	12	36	0	0	0	100	0	14430	710	12530	690	7240	690	4660	690	0.0058	0.0019	48	12	0	0	0	0	0.62507	0.051749078044058	0.036889660860599
37Mg	12	37	0	0	0	0	0	18400	720	14190	710	12290	700	7000	700	0.008	0.004	0	0	0	0	0	0	0.617141	0.069561105630179	0.040921739314121
38Mg	12	38	0	0	0	0	0	17860	630	16190	530	11980	520	10080	500	0	0	0	0	0	0	0	0	0.606156	0.085709306091593	0.047077875511777
40Mg	12	40	0	0	0	100	0	20760	640	19630	640	16000	620	14330	530	0	0	0	0	0	0	0	0	0.595431	0.103282444511083	0.047526645496867
31Al	13	31	0	0	0	100	0	7998.3	2.2	1410.9	2.2	0	0	0	0	0.644	0.025	0.8	0.8	0	0	0	0	0.6732	0.020542845396877	0.02020886580192
32Al	13	32	0	0	0	100	0	12978.3	7.2	3778.3	7.2	0	0	0	0	0.0319	0.0008	0.7	0.5	0	0	0	0	0.667603	0.026349331548411	0.020795451378802
33Al	13	33	0	0	0	100	0	12016.9	7	7509	7	0	0	0	0	0.0417	0.0002	8.5	0.7	0	0	0	0	0.65184	0.04548611294714	0.025431494805457
34Al	13	34	0	0	0	100	0	16957	14	9442.7	3.1	4934.8	3.1	0	0	0.0563	0.0006	26	4	0	0	0	0	0.641116	0.047523021809544	0.029577485574511
35Al	13	35	0	0	0	100	0	14168	37	11662	16	4148	7.4	0	0	0.0376	0.0014	38	2	0	0	0	0	0.629861	0.047146304493448	0.034825140349881
36Al	13	36	0	0	0	100	0	18390	170	12270	150	9760	150	2250	150	0.094	0.037	15.5	15.5	0	0	0	0	0.625916	0.050486849576404	0.03662230357515
37Al	13	37	0	0	0	100	0	16380	210	14170	190	8060	180	5550	180	0.0107	0.0013	55	11	0	0	0	0	0.617289	0.069036143972335	0.040824794274667
38Al	13	38	0	0	0	0	0	20380	390	14710	390	12500	380	6390	380	0.0076	0.0006	84	19	0	0	0	0	0.613425	0.073684062106825	0.04335544652708
39Al	13	39	0	0	0	0	0	18330	420	16750	410	11080	420	8870	410	0.0076	0.0016	97	22	0	0	0	0	0.605811	0.089816991443429	0.045722295392389
40Al	13	40	0	0	0	100	0	22160	530	17200	420	15620	410	9950	420	0	0	0	0	0	0	0	0	0.602782	0.091360556776826	0.047142282736113
41Al	13	41	0	0	0	100	0	21300	750	19920	610	14960	520	13380	510	0	0	0	0	0	0	0	0	0.588553	0.097887581921448	0.053177825185204
42Al	13	42	0	0	0	0	0	23630	780	19910	820	18530	690	13570	620	0	0	0	0	0	0	0	0	0.588789	0.098072795406621	0.052982144528784
43Al	13	43	0	0	0	0	0	23920	1000	22480	940	18760	970	17380	870	0	0	0	0	0	0	0	0	0.587379	0.124315229480048	0.049206421630483
35Si	14	35	0	0	0	100	0	10466	36	2086	36	0	0	0	0	0.78	0.12	2.63	2.63	0	0	0	0	0.671425	0.021554704975074	0.020242094421341
36Si	14	36	0	0	0	100	0	7815	73	4350	72	0	0	0	0	0.45	0.06	12.4	4.6	0	0	0	0	0.664483	0.028979528076905	0.021224957845897
37Si	14	37	0	0	0	100	0	12420	120	5610	110	2140	110	0	0	0.094	0.062	17	13	0	0	0	0	0.659569	0.034745630807123	0.022155568784956
38Si	14	38	0	0	0	0	0	10450	130	6750	110	0	0	0	0	0.095	0.01	28	7	0	0	0	0	0.654511	0.039997373666391	0.024478023617296
39Si	14	39	0	0	0	100	0	15090	180	8870	150	5170	140	0	0	0.0475	0.002	60	13	0	0	0	0	0.644419	0.047898760305512	0.028196167963128
40Si	14	40	0	0	0	100	0	13540	380	10130	360	3910	350	210	350	0.033	0.001	59	12	0	0	0	0	0.637602	0.056162716319313	0.031785714957566
41Si	14	41	0	0	0	100	0	17100	570	12160	580	8750	570	2530	560	0.02	0.0025	0	0	0	0	0	0	0.626261	0.049997294377885	0.036512647399345
42Si	14	42	0	0	0	100	0	15460	590	13380	510	8440	520	5030	510	0.0125	0.0035	0	0	0	0	0	0	0.620846	0.058685079714902	0.03897094564088
43Si	14	43	0	0	0	0	0	18420	810	14020	670	11940	610	7000	620	0	0	0	0	0	0	0	0	0.618278	0.065561517720044	0.040178623641877
44Si	14	44	0	0	0	100	0	18060	780	15760	810	11360	670	9280	610	0	0	0	0	0	0	0	0	0.60734	0.082961507845748	0.046984662944838
36P	15	36	0	0	0	100	0	10413	13	524	13	0	0	0	0	5.7	0.4	0	0	0	0	0	0	0.673711	0.020215903649575	0.020230304900542
37P	15	37	0	0	0	100	0	7900	38	3597	38	0	0	0	0	2.31	0.12	0	0	0	0	0	0	0.668078	0.025830648804775	0.020686475694898
38P	15	38	0	0	0	100	0	12240	73	4204	73	0	0	0	0	0.61	0.14	12	5.3	0	0	0	0	0.665272	0.028369603356156	0.021108440955826
39P	15	39	0	0	0	100	0	10390	120	6020	110	0	0	0	0	0.204	0.045	26	8	0	0	0	0	0.657288	0.03715094829812	0.023181813657469
40P	15	40	0	0	0	100	0	14720	150	6980	160	2600	150	0	0	0.149	0.01	15.8	2.1	0	0	0	0	0.653672	0.041332237191151	0.024764157652252
41P	15	41	0	0	0	100	0	14030	120	9790	120	2040	130	0	0	0.101	0.005	30	10	0	0	0	0	0.63934	0.049022885441802	0.030683587991628
42P	15	42	0	0	0	100	0	18650	310	11950	310	7700	310	0	0	0.0485	0.0015	50	20	0	0	0	0	0.627157	0.048964122961451	0.03616372171644
43P	15	43	0	0	0	100	0	16880	550	14250	550	7550	550	3300	550	0.0365	0.0015	100	10	0	0	0	0	0.616564	0.07159465724121	0.041300597798172
44P	15	44	0	0	0	0	0	19660	500	14580	500	11950	500	5240	500	0.0185	0.0025	0	0	0	0	0	0	0.614199	0.072868143728525	0.042863548283371
45P	15	45	0	0	0	0	0	19600	1200	16730	500	11650	500	9020	500	0	0	0	0	0	0	0	0	0.605885	0.089720491360126	0.045687394606199
46P	15	46	0	0	0	100	0	22630	860	18900	1300	16030	700	10950	700	0	0	0	0	0	0	0	0	0.59708	0.100300425810462	0.047775079003179
41S	16	41	0	0	0	100	0	8299	69	478	32	0	0	0	0	2.6	1.4	0	0	0	0	0	0	0.673028	0.020194703387413	0.020190885788038
42S	16	42	0	0	0	100	0	7194	60	1598	69	0	0	0	0	1.03	0.03	0.5	0.5	0	0	0	0	0.6732	0.020699342622412	0.020204557901622
43S	16	43	0	0	0	100	0	11964	62	4565	60	0	0	0	0	0.273	0.027	40	10	0	0	0	0	0.663564	0.030102940469104	0.021319776919246
44S	16	44	0	0	0	100	0	11180	140	6884	62	0	0	0	0	0.1	0.001	18	3	0	0	0	0	0.653942	0.040623186844801	0.024671394882082
45S	16	45	0	0	0	100	0	14300	1000	8300	1000	4000	1000	0	0	0.068	0.002	54	10	0	0	0	0	0.647652	0.046349047474502	0.026999913070112
46S	16	46	0	0	0	100	0	14200	540	10530	520	4580	520	290	500	0.05	0.008	0	0	0	0	0	0	0.635671	0.052439438013931	0.033018811050928
47S	16	47	0	0	0	0	0	17150	640	13160	540	9490	520	3540	520	0	0	0	0	0	0	0	0	0.621845	0.056726308928243	0.038468249864304
48S	16	48	0	0	0	0	0	17040	780	14470	720	10480	630	6810	610	0	0	0	0	0	0	0	0	0.614976	0.072874041554716	0.042348056112629
43Cl	17	43	0	0	0	100	0	7850	62	2192	62	0	0	0	0	3.175	0.09	0	0	0	0	0	0	0.671045	0.021511457733555	0.020266429108812
44Cl	17	44	0	0	0	100	0	12290	140	3550	140	0	0	0	0	0.65	0.05	4	4	0	0	0	0	0.668191	0.025711349482921	0.020662075700009
45Cl	17	45	0	0	0	100	0	11510	140	6340	140	0	0	0	0	0.4	0.043	24	4	0	0	0	0	0.655957	0.038331875146725	0.023847839907717
46Cl	17	46	0	0	0	100	0	15910	210	7840	210	2670	210	0	0	0.232	0.002	60	9	0	0	0	0	0.650448	0.047822274523841	0.025974156187133
47Cl	17	47	0	0	0	100	0	15590	400	11920	400	3850	400	0	0	0.101	0.006	1.5	1.5	0	0	0	0	0.627287	0.048866856726539	0.036099165064196
48Cl	17	48	0	0	0	0	0	18000	590	13020	500	9350	500	1280	500	0	0	0	0	0	0	0	0	0.622539	0.056001936947474	0.038106455908007
49Cl	17	49	0	0	0	0	0	18130	720	15150	670	10160	600	6500	600	0	0	0	0	0	0	0	0	0.610625	0.078550905956345	0.045059747286936
50Cl	17	50	0	0	0	0	0	21070	780	16860	720	13880	670	8890	600	0	0	0	0	0	0	0	0	0.604971	0.09092180917556	0.046114611228513
51Cl	17	51	0	0	0	100	0	20980	920	19550	860	15340	810	12360	760	0	0	0	0	0	0	0	0	0.597076	0.104573507920498	0.046193300551037
47Ar	18	47	0	0	0	100	0	10345.6	1.8	1976.3	1.3	0	0	0	0	1.23	0.03	0.1	0.1	0	0	0	0	0.672157	0.021299328871683	0.020210722361759
48Ar	18	48	0	0	0	100	0	10000	310	5360	310	0	0	0	0	0.424	0.024	38	6	0	0	0	0	0.661172	0.033953229908591	0.021540120083825
49Ar	18	49	0	0	0	100	0	12420	400	7020	400	2380	400	0	0	0.236	0.008	29	6	0	0	0	0	0.653558	0.0416337631908	0.024803651292251
50Ar	18	50	0	0	0	100	0	12400	500	8210	500	2810	500	0	0	0.106	0.006	37	7	0	0	0	0	0.648355	0.046364246509811	0.026739051767452
51Ar	18	51	0	0	0	100	0	15830	600	10970	600	6780	600	1380	600	0	0	0	0	0	0	0	0	0.63379	0.05040750582691	0.033474218253605
52Ar	18	52	0	0	0	0	0	15860	600	13170	600	8310	600	4120	600	0	0	0	0	0	0	0	0	0.621593	0.056988334533342	0.038600223845
53Ar	18	53	0	0	0	0	0	19090	710	15860	700	13160	700	8300	700	0	0	0	0	0	0	0	0	0.606639	0.083488700730631	0.047389844109143
48K	19	48	0	0	0	100	0	11940.15	0.78	1988.6	2.4	0	0	0	0	6.83	0.02	1.14	0.15	0	0	0	0	0.67212	0.021311517190477	0.02021179828615
49K	19	49	0	0	0	100	0	11688.27	0.83	6541.82	0.81	0	0	0	0	1.263	0.05	86	9	0	0	0	0	0.655172	0.039385050649017	0.024257955470847
50K	19	50	0	0	0	100	0	13861.4	7.9	7500.6	7.7	2354.1	7.7	0	0	0.472	0.004	28.6	3	0	0	0	0	0.651744	0.04567095678199	0.025468325767164
51K	19	51	0	0	0	100	0	13816	13	9002	13	2641	13	0	0	0.365	0.005	65	8	0	0	0	0	0.643443	0.048100272908	0.02855122368348
52K	19	52	0	0	0	100	0	17129	34	11123	34	6309	34	0	0	0.11	0.005	72.2	9.3	2.3	0.3	0	0	0.633176	0.049501591957011	0.033485167436918
53K	19	53	0	0	0	100	0	17090	120	13900	110	7890	110	3080	110	0.03	0.005	75	10	5	5	0	0	0.618686	0.064354638760049	0.039930829629954
54K	19	54	0	0	0	100	0	20160	600	16310	600	13120	600	7120	600	0.01	0.005	0	0	0	0	0	0	0.606204	0.087191685593607	0.046555959979947
55K	19	55	0	0	0	0	0	19060	760	17800	700	13950	700	10760	700	0	0	0	0	0	0	0	0	0.600603	0.095244827640393	0.047385333630229
56K	19	56	0	0	0	0	0	21830	900	18210	860	16940	800	13100	800	0	0	0	0	0	0	0	0	0.599002	0.09478994723811	0.047758738021472
51Ca	20	51	0	0	0	100	0	6896	20	144	15	0	0	0	0	10	0.8	0	0	0	0	0	0	0.67318	0.02021298667095	0.02019588525319
52Ca	20	52	0	0	0	100	0	6177	82	891	20	0	0	0	0	4.6	0.3	1	1	0	0	0	0	0.67358	0.020229297955194	0.020249752980222
53Ca	20	53	0	0	0	100	0	9520	100	2984	93	0	0	0	0	0.461	0.09	40	10	0	0	0	0	0.669439	0.024019041243332	0.020432298897797
54Ca	20	54	0	0	0	100	0	8730	280	5670	110	0	0	0	0	0.107	0.014	0	0	0	0	0	0	0.659047	0.035392438152635	0.022376262811026
55Ca	20	55	0	0	0	100	0	11810	540	7470	410	4410	310	0	0	0.022	0.002	0	0	0	0	0	0	0.651838	0.04548969866266	0.025432727368877
56Ca	20	56	0	0	0	100	0	10950	710	8190	610	3850	480	790	410	0.011	0.002	0	0	0	0	0	0	0.648349	0.046358724575002	0.026741665752546
57Ca	20	57	0	0	0	0	0	14100	1400	9910	710	7140	610	2800	480	0	0	0	0	0	0	0	0	0.638441	0.055754107834606	0.031255188696165
58Ca	20	58	0	0	0	0	0	12960	640	11000	1400	6790	770	4030	680	0	0	0	0	0	0	0	0	0.633565	0.050075420440596	0.033478616284167
51Sc	21	51	0	0	0	100	0	6504	20	132	20	0	0	0	0	12.4	0.1	0	0	0	0	0	0	0.673158	0.020202447566263	0.020195152009024
52Sc	21	52	0	0	0	100	0	9027	82	1218	82	0	0	0	0	8.2	0.2	0	0	0	0	0	0	0.6732	0.020522291319441	0.020213837265596
53Sc	21	53	0	0	0	100	0	7920	140	2492	94	0	0	0	0	2.4	0.6	0	0	0	0	0	0	0.669585	0.021539015622876	0.020410239832067
54Sc	21	54	0	0	0	100	0	11730	280	4870	290	0	0	0	0	0.526	0.015	16	9	0	0	0	0	0.662997	0.032218445583363	0.021204158101846
55Sc	21	55	0	0	0	100	0	11510	480	7390	460	530	470	0	0	0.096	0.002	17	7	0	0	0	0	0.652104	0.044976490138009	0.02533116910319
56Sc	21	56	0	0	0	100	0	14470	600	8740	610	4630	590	0	0	0.031	0.005	0	0	0	0	0	0	0.64491	0.0479943757256	0.028019088248728
56Sc	21	56	1	0	0	100	0	14470	600	8740	610	4630	590	0	0	0.069	0.007	0	0	0	0	0	0	0.64491	0.0479943757256	0.028019088248728
57Sc	21	57	0	0	0	100	0	12900	1300	10300	1300	4500	1300	400	1300	0.022	0.002	0	0	0	0	0	0	0.636783	0.054233918300083	0.032304766384856
58Sc	21	58	0	0	0	100	0	16230	450	10970	480	8300	420	2580	430	0.012	0.005	0	0	0	0	0	0	0.634683	0.051182471027102	0.033459833464022
59Sc	21	59	0	0	0	0	0	15210	450	12740	450	7470	480	4800	420	0	0	0	0	0	0	0	0	0.628551	0.047916293926397	0.035471265266986
60Sc	21	60	0	0	0	0	0	18280	580	13390	540	10920	540	5650	560	0	0	0	0	0	0	0	0	0.626144	0.050163760563403	0.03654943620444
61Sc	21	61	0	0	0	0	0	17280	720	15190	670	10300	630	7830	630	0	0	0	0	0	0	0	0	0.620851	0.058662368659822	0.038968382167867
56Ti	22	56	0	0	0	100	0	6830	190	1750	150	0	0	0	0	0.2	0.005	0	0	0	0	0	0	0.6732	0.020928105145952	0.020201585111075
57Ti	22	57	0	0	0	100	0	10500	270	4170	310	0	0	0	0	0.098	0.005	0	0	0	0	0	0	0.665299	0.02834886077889	0.021104652673306
58Ti	22	58	0	0	0	100	0	9290	220	5230	220	0	0	0	0	0.058	0.009	0	0	0	0	0	0	0.661985	0.033939095600833	0.021265524733768
59Ti	22	59	0	0	0	0	0	12320	260	6820	220	2760	220	0	0	0.0285	0.0025	0	0	0	0	0	0	0.654104	0.040376220817883	0.024615968039758
60Ti	22	60	0	0	0	100	0	10910	370	7430	340	1930	310	0	0	0.0222	0.002	0	0	0	0	0	0	0.651906	0.045358800309889	0.025406187800463
61Ti	22	61	0	0	0	100	0	14160	980	8820	460	5340	430	0	0	0.015	0.004	0	0	0	0	0	0	0.644452	0.047904649484926	0.028184474560893
62Ti	22	62	0	0	0	0	0	12980	500	9940	980	4600	460	1120	430	0	0	0	0	0	0	0	0	0.638375	0.056253353905012	0.031297458244441
63Ti	22	63	0	0	0	0	0	16140	640	11660	580	8600	1000	3280	550	0	0	0	0	0	0	0	0	0.629668	0.04708260549504	0.034919504180352
56V	23	56	0	0	0	100	0	9130	180	880	180	0	0	0	0	0.216	0.004	0	0	0	0	0	0	0.67359	0.02022654860054	0.02025381680795
57V	23	57	0	0	0	100	0	8111	80	2800	80	0	0	0	0	0.347	0.01	0	0	0	0	0	0	0.669494	0.023271366750417	0.020423869134726
58V	23	58	0	0	0	100	0	11590	89	4052	89	0	0	0	0	0.19	0.01	0	0	0	0	0	0	0.666012	0.027750411703786	0.021005810499231
59V	23	59	0	0	0	100	0	10250	270	6090	160	0	0	0	0	0.092	0.009	0	0	0	0	0	0	0.656871	0.037367506748202	0.023385141448726
60V	23	60	0	0	0	100	0	13430	290	6770	310	2610	220	0	0	0.04	0.015	0	0	0	0	0	0	0.654316	0.040178473515931	0.024543985843184
60V	23	60	1	0	0	100	0	13430	290	6770	310	2610	220	0	0	0.122	0.018	0	0	0	0	0	0	0.654316	0.040178473515931	0.024543985843184
61V	23	61	0	0	0	100	0	11970	900	8090	910	1440	920	0	0	0.0483	0.001	0	0	0	0	0	0	0.648814	0.046825221728641	0.026570721008968
62V	23	62	0	0	0	100	0	15420	330	8930	320	5050	360	0	0	0.0335	0.002	0	0	0	0	0	0	0.643683	0.047883447171649	0.028464131253915
63V	23	63	0	0	0	100	0	14120	540	10930	430	4440	410	570	440	0.0196	0.001	0	0	0	0	0	0	0.63397	0.050568872844963	0.033471525418033
64V	23	64	0	0	0	100	0	17160	590	11620	540	8430	430	1940	410	0.015	0.002	0	0	0	0	0	0	0.629864	0.047148172908888	0.034823509209245
65V	23	65	0	0	0	100	0	16440	580	13630	670	8080	610	4900	520	0	0	0	0	0	0	0	0	0.619822	0.063364753653081	0.039425456313347
