#nucid	Z	A	liso	energy_[keV]	D_energy_[keV]	beta-_%	D_beta-	QB-	QB-_unc	QB-n	QB-n_unc	QB-2n	QB-2n_unc	QB-3n	QB-3n_unc	T1/2_[s]	D_T1/2_[s]	pn1_%	D_pn1	pn2_%	D_pn2	pn3_%	D_pn3	Neueff_unity	lowerEff	upperEff	D_T1/2_[s] Hi	D_pn1 Hi	D_pn2 Hi
32Ne	10	32	0	0	0	100	0	18360	500	16680	500	12380	500	10110	500	0.0035	0.0009	0	0	0	0	0	0	0.615232	0.072875986253646	0.042178677651648	0.0009	0	0
27Na	11	27	0	0	0	100	0	9068.8	3.7	2625.4	3.7	0	0	0	0	0.3	0.007	0.13	0.04	0	0	0	0	0.669552	0.022111149713066	0.020415136458853	0.007	0.04	0
28Na	11	28	0	0	0	100	0	14031	10	5527	10	0	0	0	0	0.0322	0.0018	0.84	0.17	0	0	0	0	0.660229	0.033970824249595	0.021890906404188	0.0018	0.17	0
29Na	11	29	0	0	0	100	0	13283	14	9627.5	7.6	1124	7.3	0	0	0.0436	0.001	25	1.6	0	0	0	0	0.640165	0.044678246434954	0.030165389911329	0.001	1.6	0
30Na	11	30	0	0	0	100	0	17358.5	5.8	11006	12	7350.9	5.1	0	0	0.0494	0.002	30	5	1.27	0.25	0	0	0.634741	0.051233245967564	0.033458356868993	0.002	5	0.25
31Na	11	31	0	0	0	100	0	15368	14	13059	14	6706	18	3051	14	0.0174	0.0004	37	6	0.79	0.24	0	0	0.627037	0.049054156556118	0.036224214393581	0.0004	6	0.24
32Na	11	32	0	0	0	100	0	19469	37	13691	37	11381	37	5029	39	0.0133	0.0004	24	8	8.8	2.5	0	0	0.625566	0.05099765778269	0.036732907144962	0.0004	8	2.5
33Na	11	33	0	0	0	100	0	18820	450	16540	450	10760	450	8450	450	0.0081	0.0004	47	6	13	3	0	0	0.615967	0.07288157387557	0.041693697792114	0.0004	6	3
34Na	11	34	0	0	0	100	0	23360	600	18650	600	16370	600	10590	600	0.005	0.0009	54	5	18	5	0	0	0.60627	0.083766418125702	0.047602679153699	0.0009	5	5
35Na	11	35	0	0	0	100	0	22590	720	21840	670	17130	670	14850	670	0.0018	0.0005	0	0	0	0	0	0	0.597311	0.095637741104905	0.048523924239996	0.0005	0	0
30Mg	12	30	0	0	0	100	0	6981	4.5	1252.6	3.5	0	0	0	0	0.317	0.005	0.03	0.03	0	0	0	0	0.6732	0.020524069796217	0.020213378243134	0.005	0.03	0
31Mg	12	31	0	0	0	100	0	11828.6	3.8	4671.4	4.2	0	0	0	0	0.236	0.02	6.2	1.9	0	0	0	0	0.663384	0.030778790413374	0.021282675168089	0.02	1.9	0
32Mg	12	32	0	0	0	100	0	10270.5	7.9	6050.5	4	0	0	0	0	0.086	0.005	5.4	0.5	0	0	0	0	0.657201	0.037194493677975	0.023223874955763	0.005	0.5	0
33Mg	12	33	0	0	0	100	0	13459.7	7.6	7990.4	7.7	3770.4	3.7	0	0	0.0894	0.001	14	2	0	0	0	0	0.649835	0.047853127154895	0.02620280592804	0.001	2	0
34Mg	12	34	0	0	0	100	0	11324	29	8749	30	3280	30	0	0	0.02	0.01	58	12	0	0	0	0	0.645119	0.048034425579421	0.0279446888647	0.01	12	0
35Mg	12	35	0	0	0	100	0	15860	270	10570	270	7990	270	2530	270	0.0113	0.0006	52	46	0	0	0	0	0.635646	0.052401905829697	0.033034707181757	0.0006	46	0
36Mg	12	36	0	0	0	100	0	14430	710	12530	690	7240	690	4660	690	0.0058	0.0019	48	12	0	0	0	0	0.62507	0.051749078044058	0.036889660860599	0.0019	12	0
37Mg	12	37	0	0	0	100	0	18400	720	14190	710	12290	700	7000	700	0.008	0.004	0	0	0	0	0	0	0.617141	0.069561105630179	0.040921739314121	0.004	0	0
31Al	13	31	0	0	0	100	0	7998.3	2.2	1410.9	2.2	0	0	0	0	0.644	0.025	0.8	0.8	0	0	0	0	0.6732	0.020542845396877	0.02020886580192	0.025	0.8	0
32Al	13	32	0	0	0	100	0	12978.3	7.2	3778.3	7.2	0	0	0	0	0.0319	0.0008	0.7	0.5	0	0	0	0	0.667603	0.026349331548411	0.020795451378802	0.0008	0.5	0
33Al	13	33	0	0	0	100	0	12016.9	7	7509	7	0	0	0	0	0.0417	0.0002	8.5	0.7	0	0	0	0	0.65184	0.04548611294714	0.025431494805457	0.0002	0.7	0
34Al	13	34	0	0	0	100	0	16957	14	9442.7	3.1	4934.8	3.1	0	0	0.0563	0.0006	26	4	0	0	0	0	0.641116	0.047523021809544	0.029577485574511	0.0006	4	0
35Al	13	35	0	0	0	100	0	14168	37	11662	16	4148	7.4	0	0	0.0376	0.0014	38	2	0	0	0	0	0.629861	0.047146304493448	0.034825140349881	0.0014	2	0
36Al	13	36	0	0	0	100	0	18390	170	12270	150	9760	150	2250	150	0.094	0.037	15.5	15.5	0	0	0	0	0.625916	0.050486849576404	0.03662230357515	0.037	15.5	0
37Al	13	37	0	0	0	100	0	16380	210	14170	190	8060	180	5550	180	0.0107	0.0013	55	11	0	0	0	0	0.617289	0.069036143972335	0.040824794274667	0.0013	11	0
38Al	13	38	0	0	0	100	0	20380	390	14710	390	12500	380	6390	380	0.0082	0.0007	82	18	0	0	0	0	0.613425	0.073684062106825	0.04335544652708	0.0007	18	0
